gene	gene_name	annotation	n_genomes	n_total	pct	classification	seq_length
group_171		hypothetical protein	97	97	100.0	core	666
group_172		hypothetical protein	97	97	100.0	core	660
group_173		hypothetical protein	97	97	100.0	core	660
group_174		hypothetical protein	97	97	100.0	core	654
group_175		hypothetical protein	97	97	100.0	core	648
group_176		hypothetical protein	97	97	100.0	core	648
group_177		hypothetical protein	97	97	100.0	core	642
group_178		hypothetical protein	97	97	100.0	core	633
group_179		dITP/XTP pyrophosphatase	97	97	100.0	core	630
group_18		hypothetical protein	97	97	100.0	core	372
group_180		hypothetical protein	97	97	100.0	core	603
group_181		hypothetical protein	97	97	100.0	core	591
group_182		hypothetical protein	97	97	100.0	core	585
group_183		hypothetical protein	97	97	100.0	core	585
group_184		hypothetical protein	97	97	100.0	core	582
group_185		hypothetical protein	97	97	100.0	core	582
group_186		hypothetical protein	97	97	100.0	core	579
group_187		hypothetical protein	97	97	100.0	core	570
group_188		hypothetical protein	97	97	100.0	core	567
group_189		hypothetical protein	97	97	100.0	core	555
group_19		hypothetical protein	97	97	100.0	core	897
group_190		Early upstream open reading frame	97	97	100.0	core	552
group_191		Protein/CP_1068/CPj0803/CpB0832	97	97	100.0	core	552
group_192		hypothetical protein	97	97	100.0	core	537
group_193		hypothetical protein	97	97	100.0	core	528
group_194		hypothetical protein	97	97	100.0	core	525
group_195		hypothetical protein	97	97	100.0	core	525
group_196		hypothetical protein	97	97	100.0	core	522
group_197		hypothetical protein	97	97	100.0	core	522
group_198		hypothetical protein	97	97	100.0	core	519
group_199		hypothetical protein	97	97	100.0	core	513
group_2		hypothetical protein	97	97	100.0	core	351
group_20		hypothetical protein	97	97	100.0	core	642
group_200		hypothetical protein	97	97	100.0	core	507
group_201		hypothetical protein	97	97	100.0	core	507
group_202		hypothetical protein	97	97	100.0	core	504
group_203		hypothetical protein	97	97	100.0	core	504
group_204		hypothetical protein	97	97	100.0	core	501
group_205		hypothetical protein	97	97	100.0	core	495
group_206		hypothetical protein	97	97	100.0	core	495
group_207		hypothetical protein	97	97	100.0	core	492
group_208		hypothetical protein	97	97	100.0	core	492
group_209		hypothetical protein	97	97	100.0	core	489
group_21		hypothetical protein	97	97	100.0	core	3012
group_210		hypothetical protein	97	97	100.0	core	483
group_211		hypothetical protein	97	97	100.0	core	483
group_212		hypothetical protein	97	97	100.0	core	480
group_213		hypothetical protein	97	97	100.0	core	480
group_214		hypothetical protein	97	97	100.0	core	480
group_215		hypothetical protein	97	97	100.0	core	477
group_216		hypothetical protein	97	97	100.0	core	477
group_217		hypothetical protein	97	97	100.0	core	474
group_218		hypothetical protein	97	97	100.0	core	468
group_219		hypothetical protein	97	97	100.0	core	462
group_22		hypothetical protein	97	97	100.0	core	570
group_220		hypothetical protein	97	97	100.0	core	453
group_221		hypothetical protein	97	97	100.0	core	453
group_222		hypothetical protein	97	97	100.0	core	450
group_223		hypothetical protein	97	97	100.0	core	447
group_225		hypothetical protein	97	97	100.0	core	447
group_226		hypothetical protein	97	97	100.0	core	444
group_227		hypothetical protein	97	97	100.0	core	441
group_228		hypothetical protein	97	97	100.0	core	435
group_229		hypothetical protein	97	97	100.0	core	432
group_23		hypothetical protein	97	97	100.0	core	2925
group_230		hypothetical protein	97	97	100.0	core	429
group_231		hypothetical protein	97	97	100.0	core	426
group_232		hypothetical protein	97	97	100.0	core	420
group_233		hypothetical protein	97	97	100.0	core	420
group_234		hypothetical protein	97	97	100.0	core	414
group_235		hypothetical protein	97	97	100.0	core	408
group_236		hypothetical protein	97	97	100.0	core	408
group_237		hypothetical protein	97	97	100.0	core	402
group_239		hypothetical protein	97	97	100.0	core	393
group_24		hypothetical protein	97	97	100.0	core	1380
group_240		hypothetical protein	97	97	100.0	core	375
group_241		hypothetical protein	97	97	100.0	core	369
group_242		hypothetical protein	97	97	100.0	core	366
group_243		hypothetical protein	97	97	100.0	core	366
group_244		hypothetical protein	97	97	100.0	core	360
group_245		hypothetical protein	97	97	100.0	core	351
group_246		hypothetical protein	97	97	100.0	core	351
group_247		hypothetical protein	97	97	100.0	core	348
group_248		hypothetical protein	97	97	100.0	core	345
group_249		hypothetical protein	97	97	100.0	core	345
group_25		Single-stranded DNA-binding protein	97	97	100.0	core	534
group_250		hypothetical protein	97	97	100.0	core	339
group_251		Purine nucleoside phosphoramidase	97	97	100.0	core	336
group_252		hypothetical protein	97	97	100.0	core	333
group_253		hypothetical protein	97	97	100.0	core	333
group_254		hypothetical protein	97	97	100.0	core	330
group_255		hypothetical protein	97	97	100.0	core	330
group_256		hypothetical protein	97	97	100.0	core	321
group_257		hypothetical protein	97	97	100.0	core	309
group_258		hypothetical protein	97	97	100.0	core	303
group_259		hypothetical protein	97	97	100.0	core	300
group_26		hypothetical protein	97	97	100.0	core	1683
group_260		hypothetical protein	97	97	100.0	core	297
group_261		hypothetical protein	97	97	100.0	core	294
group_262		hypothetical protein	97	97	100.0	core	288
group_263		hypothetical protein	97	97	100.0	core	285
group_264		hypothetical protein	97	97	100.0	core	279
group_265		hypothetical protein	97	97	100.0	core	255
group_267		hypothetical protein	97	97	100.0	core	252
group_268		putative protein CT_666	97	97	100.0	core	252
group_27		hypothetical protein	97	97	100.0	core	795
group_270		hypothetical protein	97	97	100.0	core	237
group_271		hypothetical protein	97	97	100.0	core	228
group_272		hypothetical protein	97	97	100.0	core	225
group_273		hypothetical protein	97	97	100.0	core	219
group_274		hypothetical protein	97	97	100.0	core	204
group_275		hypothetical protein	97	97	100.0	core	189
group_277		hypothetical protein	97	97	100.0	core	183
group_278		hypothetical protein	97	97	100.0	core	180
group_279		hypothetical protein	97	97	100.0	core	177
group_28		hypothetical protein	97	97	100.0	core	1164
group_281		hypothetical protein	97	97	100.0	core	162
group_282		hypothetical protein	97	97	100.0	core	162
group_283		hypothetical protein	97	97	100.0	core	138
group_284		hypothetical protein	97	97	100.0	core	504
group_285		putative transcriptional regulatory protein/MSMEI_2866;putative transcriptional regulatory protein	97	97	100.0	core	717
group_286		hypothetical protein	97	97	100.0	core	375
group_287		hypothetical protein	97	97	100.0	core	537
group_288		hypothetical protein	97	97	100.0	core	888
group_289		hypothetical protein	97	97	100.0	core	252
group_290		hypothetical protein	97	97	100.0	core	690
group_291		hypothetical protein	97	97	100.0	core	1266
group_292		hypothetical protein	97	97	100.0	core	165
group_293		hypothetical protein	97	97	100.0	core	1389
group_294		hypothetical protein	97	97	100.0	core	861
group_295		hypothetical protein	97	97	100.0	core	4350
group_296		hypothetical protein	97	97	100.0	core	273
group_297		S-adenosylmethionine/S-adenosylhomocysteine transporter	97	97	100.0	core	984
group_298		hypothetical protein	97	97	100.0	core	801
group_299		hypothetical protein	97	97	100.0	core	687
group_3		hypothetical protein	97	97	100.0	core	867
group_30		hypothetical protein	97	97	100.0	core	2787
group_300		hypothetical protein	97	97	100.0	core	1260
group_301		hypothetical protein	97	97	100.0	core	255
group_302		hypothetical protein	97	97	100.0	core	150
group_303		hypothetical protein	97	97	100.0	core	438
group_304		hypothetical protein	97	97	100.0	core	948
group_305		hypothetical protein	97	97	100.0	core	225
group_306		hypothetical protein	97	97	100.0	core	1521
group_307		hypothetical protein	97	97	100.0	core	348
group_308		hypothetical protein	97	97	100.0	core	306
group_309		hypothetical protein	97	97	100.0	core	384
group_31		hypothetical protein	97	97	100.0	core	1488
group_310		hypothetical protein	97	97	100.0	core	1257
group_311		hypothetical protein	97	97	100.0	core	351
group_312		hypothetical protein	97	97	100.0	core	1728
group_313		hypothetical protein	97	97	100.0	core	708
group_314		hypothetical protein	97	97	100.0	core	714
group_315		hypothetical protein	97	97	100.0	core	2481
group_316		hypothetical protein	97	97	100.0	core	570
group_317		hypothetical protein	97	97	100.0	core	738
group_318		hypothetical protein	97	97	100.0	core	660
group_32		hypothetical protein	97	97	100.0	core	813
group_320		hypothetical protein	97	97	100.0	core	972
group_321		hypothetical protein	97	97	100.0	core	1188
group_322		hypothetical protein	97	97	100.0	core	1011
group_323		GTP cyclohydrolase 1 type 2	97	97	100.0	core	756
group_324		hypothetical protein	97	97	100.0	core	390
group_325		hypothetical protein	97	97	100.0	core	1695
group_327		hypothetical protein	97	97	100.0	core	2163
group_328		hypothetical protein	97	97	100.0	core	1647
group_329		hypothetical protein	97	97	100.0	core	846
group_33		hypothetical protein;Farnesyl diphosphate synthase	97	97	100.0	core	876
group_330		hypothetical protein	97	97	100.0	core	1071
group_331		hypothetical protein	97	97	100.0	core	357
group_332		hypothetical protein	97	97	100.0	core	261
group_333		hypothetical protein	97	97	100.0	core	558
group_334		hypothetical protein	97	97	100.0	core	627
group_335		hypothetical protein	97	97	100.0	core	192
group_336		hypothetical protein	97	97	100.0	core	276
group_337		hypothetical protein	97	97	100.0	core	294
group_338		hypothetical protein	97	97	100.0	core	279
group_339		hypothetical protein	97	97	100.0	core	519
group_34		hypothetical protein	97	97	100.0	core	873
group_340		hypothetical protein	97	97	100.0	core	801
group_341		hypothetical protein	97	97	100.0	core	465
group_342		hypothetical protein	97	97	100.0	core	984
group_343		hypothetical protein	97	97	100.0	core	711
group_344		hypothetical protein	97	97	100.0	core	537
group_345		hypothetical protein	97	97	100.0	core	255
group_346		hypothetical protein	97	97	100.0	core	897
group_347		hypothetical protein	97	97	100.0	core	336
group_348		hypothetical protein	97	97	100.0	core	369
group_349		hypothetical protein	97	97	100.0	core	402
group_35		hypothetical protein	97	97	100.0	core	597
group_350		hypothetical protein	97	97	100.0	core	162
group_351		hypothetical protein	97	97	100.0	core	453
group_352		hypothetical protein	97	97	100.0	core	1314
group_353		hypothetical protein	97	97	100.0	core	1083
group_354		hypothetical protein	97	97	100.0	core	1212
group_355		hypothetical protein	97	97	100.0	core	522
group_356		hypothetical protein	97	97	100.0	core	2103
group_357		hypothetical protein	97	97	100.0	core	273
group_358		hypothetical protein	97	97	100.0	core	330
group_359		hypothetical protein	97	97	100.0	core	297
group_360		hypothetical protein	97	97	100.0	core	843
group_361		hypothetical protein	97	97	100.0	core	1281
group_363		hypothetical protein	97	97	100.0	core	456
group_364		hypothetical protein	97	97	100.0	core	705
group_365		hypothetical protein	97	97	100.0	core	858
group_366		hypothetical protein	97	97	100.0	core	498
group_367		hypothetical protein	97	97	100.0	core	444
group_369		hypothetical protein	97	97	100.0	core	1776
group_370		hypothetical protein	97	97	100.0	core	1971
group_373		hypothetical protein	97	97	100.0	core	1104
group_4		hypothetical protein	97	97	100.0	core	276
group_40		hypothetical protein	97	97	100.0	core	1749
group_42		hypothetical protein	97	97	100.0	core	1647
group_43		hypothetical protein	97	97	100.0	core	312
group_44		hypothetical protein	97	97	100.0	core	2490
group_45		hypothetical protein	97	97	100.0	core	2499
group_46		hypothetical protein	97	97	100.0	core	2433
group_47		hypothetical protein	97	97	100.0	core	2304
group_48		hypothetical protein	97	97	100.0	core	2091
group_49		hypothetical protein	97	97	100.0	core	2076
group_5		hypothetical protein	97	97	100.0	core	771
group_50		hypothetical protein	97	97	100.0	core	459
group_51		hypothetical protein	97	97	100.0	core	1977
group_52		hypothetical protein	97	97	100.0	core	1953
group_53		hypothetical protein	97	97	100.0	core	1950
group_54		hypothetical protein	97	97	100.0	core	1950
group_55		hypothetical protein	97	97	100.0	core	1872
