accession	strain	tier	contigs	bases	CDS	rRNA	tRNA	tmRNA	flag
GCF_000318785.1	Ia/SotonIa3	primary	2	1050283	902	6	37	1	
GCF_000318825.1	L1/440/LN	primary	1	1039261	892	6	37	1	
GCF_000318845.1	L1/115	primary	2	1046584	896	6	37	1	
GCF_000318865.1	L1/224	primary	2	1046319	898	6	37	1	
GCF_000318885.1	L2/25667R	primary	1	1038839	890	6	37	1	
GCF_000318905.1	L2b/8200/07	primary	2	1046364	897	6	37	1	
GCF_000318925.1	L2b/UCH-2	primary	2	1046337	897	6	37	1	
GCF_000318985.1	L2b/795	primary	2	1046220	897	6	37	1	
GCF_000319105.1	L3/404/LN	primary	2	1046672	896	6	37	1	
GCF_000364765.1	L2/434/Bu(i)	primary	2	1046341	898	6	37	1	
GCF_000364785.1	L2/434/Bu(f)	primary	2	1046341	898	6	37	1	
GCF_000441585.1	RC-F/69	primary	1	1046087	896	6	37	1	
GCF_000441615.1	RC-L2(s)/46	primary	1	1038817	890	6	37	1	
GCF_000441635.1	RC-F(s)/852	quality-review	1	1083893	925	9	37	1	
GCF_000441655.1	RC-J/943	primary	1	1038797	888	6	37	1	
GCF_000441675.1	RC-J/953	primary	1	1038792	889	6	37	1	
GCF_000441695.1	RC-L2(s)/3	primary	1	1046171	895	6	37	1	
GCF_000441715.1	RC-F(s)/342	quality-review	1	1083842	925	9	37	1	
GCF_000441735.1	RC-J(s)/122	quality-review	1	1061854	912	6	37	1	
GCF_000441755.1	RC-J/966	primary	1	1038839	889	6	37	1	
GCF_000441795.1	RC-J/971	primary	1	1038442	889	6	37	1	
GCF_000441815.1	RC-L2/55	primary	1	1038870	891	6	37	1	
GCF_000507225.1	C/TW-3	primary	2	1051055	908	6	37	1	
GCF_000590575.1	F/1-93	primary	1	1042588	897	6	37	1	
GCF_000590615.1	F/6-94	primary	1	1042767	895	6	37	1	
GCF_000590635.1	F/11-96	primary	1	1042853	896	6	37	1	
GCF_000590675.1	D/13-96	primary	1	1042752	894	6	37	1	
GCF_000590755.1	J/31-98	primary	1	1043207	894	6	37	1	
GCF_000971705.1	L2b/CS19/08	primary	2	1046364	897	6	37	1	
GCF_000971725.1	L2b/CS784/08	primary	2	1046364	897	6	37	1	
GCF_001183765.1	D/CS637/11	quality-review	2	1050173	899	6	37	1	
GCF_001183805.1	E/CS1025/11	quality-review	2	1050536	901	6	37	1	
GCF_001183825.1	F/CS847/08	quality-review	2	1050553	901	6	37	1	
GCF_001183845.1	Ia/CS190/96	quality-review	2	1049505	899	6	37	1	
GCF_001655335.1	E-103	primary	2	1050521	900	6	37	1	
GCF_001655375.1	E-160	primary	2	1050509	902	6	37	1	
GCF_001655415.1	E-547	primary	2	1050505	902	6	37	1	
GCF_001655455.1	E-8873	primary	2	1050210	902	6	37	1	
GCF_001655495.1	E-32931	primary	2	1056419	908	6	37	1	
GCF_001655535.1	E-DK-20	primary	2	1055535	909	6	37	1	
GCF_001655575.1	F-6068	primary	2	1050231	902	6	37	1	
GCF_001885175.1	QH111L	quality-review	2	1033342	896	3	37	1	
GCF_002776745.1	SQ32	primary	1	1047716	900	6	37	1	
GCF_002776795.1	SQ29	primary	1	1047716	900	6	37	1	
GCF_002776845.1	SQ20	primary	1	1048530	897	6	37	1	
GCF_002776885.1	SQ24	primary	1	1048538	897	6	37	1	
GCF_002776955.1	SQ09	primary	1	1042567	901	6	37	1	
GCF_002776975.1	SQ10	primary	1	1042575	901	6	37	1	
GCF_002776995.1	SQ12	primary	1	1042577	899	6	37	1	
GCF_002777015.1	SQ14	primary	1	1042578	900	6	37	1	
GCF_002777035.1	SQ01	primary	1	1048696	898	6	37	1	
GCF_002777055.1	SQ02	primary	1	1048696	898	6	37	1	
GCF_002777075.1	SQ05	primary	1	1048696	898	6	37	1	
GCF_002777095.1	SQ25	primary	1	1043246	894	6	37	1	
GCF_002777135.1	SQ15	primary	1	1048307	896	6	37	1	
GCF_002777155.1	SQ19	primary	1	1048306	897	6	37	1	
GCF_025723025.1	L2f	primary	2	1045668	896	6	37	1	
GCF_036285905.1	LGV II 434	quality-review	1	1039264	890	6	37	1	
GCF_047414635.1	L3/404/LN	primary	1	1039420	888	6	37	1	
GCF_047416045.1	L2-D/SF/L2c	primary	1	1038756	896	6	37	1	
GCF_047416055.1	L1/440/LN	primary	1	1039486	892	6	37	1	
GCF_047416065.1	K/UW-31/Cx	primary	1	1043159	892	6	37	1	
GCF_047417355.1	J/UW-36/Cx	primary	1	1049015	897	6	37	1	
GCF_047417365.1	Ia/UW-202	primary	1	1042866	894	6	37	1	
GCF_047417375.1	Ja/UW-92	primary	1	1043805	894	6	37	1	
GCF_047418505.1	G/UW-57/Cx	primary	1	1042522	891	6	37	1	
GCF_047418515.1	H/UW-4/Cx	primary	1	1047421	898	5	37	1	
GCF_047418525.1	I/UW-12/UR	primary	1	1043106	898	6	37	1	
GCF_047419415.1	F/IC-Cal-13	primary	1	1042745	894	6	37	1	
GCF_047419425.1	E/bour	primary	1	1042685	899	6	37	1	
GCF_047419435.1	Da/TW-448	primary	1	1042206	890	6	37	1	
GCF_047420685.1	D/UW-3/Cx	primary	1	1042687	894	6	37	1	
GCF_047420695.1	C/TW-3/OT	primary	1	1043661	905	6	37	1	
GCF_047420705.1	Ba/Apache-2	primary	1	1044362	901	6	37	1	
GCF_047421435.1	A/Sa-1	primary	1	1044098	900	6	37	1	
GCF_047421445.1	B/TW-5/OT	quality-review	1	1033232	887	6	37	1	
GCF_059083935.1	D/Ep6/S19-121	primary	2	1046451	896	6	37	1	
