threshold	cluster	size	members	bioprojects
99.99	32	1	GCF_000441585.1:RC-F/69	PRJNA53845
99.99	33	1	GCF_000441615.1:RC-L2(s)/46	PRJNA53847
99.99	34	1	GCF_000441655.1:RC-J/943	PRJNA53851
99.99	35	1	GCF_000441675.1:RC-J/953	PRJNA53853
99.99	36	1	GCF_000441695.1:RC-L2(s)/3	PRJNA53855
99.99	37	1	GCF_000441755.1:RC-J/966	PRJNA53861
99.99	38	1	GCF_000441795.1:RC-J/971	PRJNA66011
99.99	39	1	GCF_000441815.1:RC-L2/55	PRJNA66013
99.99	40	1	GCF_000590575.1:F/1-93	PRJNA213111
99.99	41	1	GCF_000590615.1:F/6-94	PRJNA213111
99.99	42	1	GCF_000590635.1:F/11-96	PRJNA213111
99.99	43	1	GCF_000590755.1:J/31-98	PRJNA213111
99.99	44	1	GCF_001655335.1:E-103	PRJNA316787
99.99	45	1	GCF_001655455.1:E-8873	PRJNA316787
99.99	46	1	GCF_001655495.1:E-32931	PRJNA316787
99.99	47	1	GCF_001655535.1:E-DK-20	PRJNA316787
99.99	48	1	GCF_001655575.1:F-6068	PRJNA316787
99.99	49	1	GCF_002776995.1:SQ12	PRJNA338746
99.99	50	1	GCF_047416065.1:K/UW-31/Cx	PRJNA1137892
99.99	51	1	GCF_047417355.1:J/UW-36/Cx	PRJNA1137892
99.99	52	1	GCF_047418505.1:G/UW-57/Cx	PRJNA1137892
99.99	53	1	GCF_047418515.1:H/UW-4/Cx	PRJNA1137892
99.99	54	1	GCF_047418525.1:I/UW-12/UR	PRJNA1137892
99.99	55	1	GCF_047419435.1:Da/TW-448	PRJNA1137892
99.99	56	1	GCF_047420705.1:Ba/Apache-2	PRJNA1137892
99.99	57	1	GCF_047421435.1:A/Sa-1	PRJNA1137892
99.99	58	1	GCF_059083935.1:D/Ep6/S19-121	PRJNA1274633
99.9	1	25	GCF_000092665.1:E/150; GCF_000092745.1:E/11023; GCF_000174055.1:2923; GCF_000210495.1:Sweden2; GCF_000304495.1:E/SW3; GCF_000304515.1:F/SW4; GCF_000304535.1:F/SW5; GCF_000318645.1:E/Bour; GCF_000590575.1:F/1-93; GCF_000590615.1:F/6-94; GCF_000590635.1:F/11-96; GCF_000590675.1:D/13-96; GCF_001655335.1:E-103; GCF_001655375.1:E-160; GCF_001655415.1:E-547; GCF_001655455.1:E-8873; GCF_001655495.1:E-32931; GCF_001655535.1:E-DK-20; GCF_001655575.1:F-6068; GCF_002776745.1:SQ32; GCF_002776795.1:SQ29; GCF_002777095.1:SQ25; GCF_047417375.1:Ja/UW-92; GCF_047419415.1:F/IC-Cal-13; GCF_047419425.1:E/bour	PRJEA43167;PRJEA71077;PRJEA71079;PRJEA71085;PRJEA71087;PRJNA1137892;PRJNA213111;PRJNA316787;PRJNA32539;PRJNA338746;PRJNA43141;PRJNA43143
99.9	2	22	GCF_000068525.2:UCH-1; GCF_000068585.1:L2/434/Bu; GCF_000220105.1:L2c; GCF_000318825.1:L1/440/LN; GCF_000318845.1:L1/115; GCF_000318865.1:L1/224; GCF_000318885.1:L2/25667R; GCF_000318905.1:L2b/8200/07; GCF_000318925.1:L2b/UCH-2; GCF_000318985.1:L2b/795; GCF_000319105.1:L3/404/LN; GCF_000364765.1:L2/434/Bu(i); GCF_000364785.1:L2/434/Bu(f); GCF_000441615.1:RC-L2(s)/46; GCF_000441815.1:RC-L2/55; GCF_000971705.1:L2b/CS19/08; GCF_000971725.1:L2b/CS784/08; GCF_025723025.1:L2f; GCF_047414635.1:L3/404/LN; GCF_047416045.1:L2-D/SF/L2c; GCF_047416055.1:L1/440/LN; GCF_059083935.1:D/Ep6/S19-121	PRJEA71099;PRJEA71101;PRJEA71103;PRJEA71105;PRJEA71107;PRJEA71109;PRJEA71115;PRJEA71127;PRJNA1137892;PRJNA1274633;PRJNA182150;PRJNA182165;PRJNA266925;PRJNA266926;PRJNA28583;PRJNA28585;PRJNA47581;PRJNA53847;PRJNA66013;PRJNA886480
99.9	3	14	GCF_000173475.1:6276; GCF_000173495.1:6276s; GCF_000318765.1:Ia/SotonIa1; GCF_000318785.1:Ia/SotonIa3; GCF_000590755.1:J/31-98; GCF_002776955.1:SQ09; GCF_002776975.1:SQ10; GCF_002776995.1:SQ12; GCF_002777015.1:SQ14; GCF_002777035.1:SQ01; GCF_002777055.1:SQ02; GCF_002777075.1:SQ05; GCF_047417355.1:J/UW-36/Cx; GCF_047417365.1:Ia/UW-202	PRJEA71093;PRJEA71095;PRJNA1137892;PRJNA213111;PRJNA32183;PRJNA32185;PRJNA338746
99.9	4	9	GCF_000008725.1:D/UW-3/CX; GCF_000092485.1:D-EC; GCF_000093005.1:D-LC; GCF_002776845.1:SQ20; GCF_002776885.1:SQ24; GCF_047416065.1:K/UW-31/Cx; GCF_047418505.1:G/UW-57/Cx; GCF_047418515.1:H/UW-4/Cx; GCF_047420685.1:D/UW-3/Cx	PRJNA1137892;PRJNA338746;PRJNA45;PRJNA48087;PRJNA48089
99.9	5	5	GCF_000026905.1:B/TZ1A828/OT; GCF_000226605.1:A2497; GCF_000284475.1:A2497; GCF_000318525.1:A/363; GCF_000318565.1:A/7249	PRJEA32651;PRJEA32653;PRJEA71065;PRJEA71069;PRJNA53575
99.9	6	3	GCF_000092685.1:G/9768; GCF_000092725.1:G/11074; GCF_000092805.1:G/9301	PRJNA43145;PRJNA43149;PRJNA45851
99.9	7	2	GCF_000026925.1:Jali20; GCF_047421435.1:A/Sa-1	PRJEA32655;PRJNA1137892
99.9	8	2	GCF_000173515.1:70; GCF_000173535.1:70s	PRJNA32187;PRJNA32189
99.9	9	2	GCF_000507225.1:C/TW-3; GCF_047420695.1:C/TW-3/OT	PRJNA1137892;PRJNA230246
99.9	10	2	GCF_002777135.1:SQ15; GCF_002777155.1:SQ19	PRJNA338746
99.9	11	1	GCF_000012125.1:A/HAR-13	PRJNA13885
99.9	12	1	GCF_000092705.1:G/11222	PRJNA43147
99.9	13	1	GCF_000441585.1:RC-F/69	PRJNA53845
99.9	14	1	GCF_000441655.1:RC-J/943	PRJNA53851
99.9	15	1	GCF_000441675.1:RC-J/953	PRJNA53853
99.9	16	1	GCF_000441695.1:RC-L2(s)/3	PRJNA53855
99.9	17	1	GCF_000441755.1:RC-J/966	PRJNA53861
99.9	18	1	GCF_000441795.1:RC-J/971	PRJNA66011
99.9	19	1	GCF_047418525.1:I/UW-12/UR	PRJNA1137892
99.9	20	1	GCF_047419435.1:Da/TW-448	PRJNA1137892
99.9	21	1	GCF_047420705.1:Ba/Apache-2	PRJNA1137892
99.5	1	97	GCF_000008725.1:D/UW-3/CX; GCF_000012125.1:A/HAR-13; GCF_000026905.1:B/TZ1A828/OT; GCF_000026925.1:Jali20; GCF_000068525.2:UCH-1; GCF_000068585.1:L2/434/Bu; GCF_000092485.1:D-EC; GCF_000092665.1:E/150; GCF_000092685.1:G/9768; GCF_000092705.1:G/11222; GCF_000092725.1:G/11074; GCF_000092745.1:E/11023; GCF_000092805.1:G/9301; GCF_000093005.1:D-LC; GCF_000173475.1:6276; GCF_000173495.1:6276s; GCF_000173515.1:70; GCF_000173535.1:70s; GCF_000174055.1:2923; GCF_000210495.1:Sweden2; GCF_000220105.1:L2c; GCF_000226605.1:A2497; GCF_000284475.1:A2497; GCF_000304495.1:E/SW3; GCF_000304515.1:F/SW4; GCF_000304535.1:F/SW5; GCF_000318525.1:A/363; GCF_000318565.1:A/7249; GCF_000318645.1:E/Bour; GCF_000318765.1:Ia/SotonIa1; GCF_000318785.1:Ia/SotonIa3; GCF_000318825.1:L1/440/LN; GCF_000318845.1:L1/115; GCF_000318865.1:L1/224; GCF_000318885.1:L2/25667R; GCF_000318905.1:L2b/8200/07; GCF_000318925.1:L2b/UCH-2; GCF_000318985.1:L2b/795; GCF_000319105.1:L3/404/LN; GCF_000364765.1:L2/434/Bu(i); GCF_000364785.1:L2/434/Bu(f); GCF_000441585.1:RC-F/69; GCF_000441615.1:RC-L2(s)/46; GCF_000441655.1:RC-J/943; GCF_000441675.1:RC-J/953; GCF_000441695.1:RC-L2(s)/3; GCF_000441755.1:RC-J/966; GCF_000441795.1:RC-J/971; GCF_000441815.1:RC-L2/55; GCF_000507225.1:C/TW-3; GCF_000590575.1:F/1-93; GCF_000590615.1:F/6-94; GCF_000590635.1:F/11-96; GCF_000590675.1:D/13-96; GCF_000590755.1:J/31-98; GCF_000971705.1:L2b/CS19/08; GCF_000971725.1:L2b/CS784/08; GCF_001655335.1:E-103; GCF_001655375.1:E-160; GCF_001655415.1:E-547; GCF_001655455.1:E-8873; GCF_001655495.1:E-32931; GCF_001655535.1:E-DK-20; GCF_001655575.1:F-6068; GCF_002776745.1:SQ32; GCF_002776795.1:SQ29; GCF_002776845.1:SQ20; GCF_002776885.1:SQ24; GCF_002776955.1:SQ09; GCF_002776975.1:SQ10; GCF_002776995.1:SQ12; GCF_002777015.1:SQ14; GCF_002777035.1:SQ01; GCF_002777055.1:SQ02; GCF_002777075.1:SQ05; GCF_002777095.1:SQ25; GCF_002777135.1:SQ15; GCF_002777155.1:SQ19; GCF_025723025.1:L2f; GCF_047414635.1:L3/404/LN; GCF_047416045.1:L2-D/SF/L2c; GCF_047416055.1:L1/440/LN; GCF_047416065.1:K/UW-31/Cx; GCF_047417355.1:J/UW-36/Cx; GCF_047417365.1:Ia/UW-202; GCF_047417375.1:Ja/UW-92; GCF_047418505.1:G/UW-57/Cx; GCF_047418515.1:H/UW-4/Cx; GCF_047418525.1:I/UW-12/UR; GCF_047419415.1:F/IC-Cal-13; GCF_047419425.1:E/bour; GCF_047419435.1:Da/TW-448; GCF_047420685.1:D/UW-3/Cx; GCF_047420695.1:C/TW-3/OT; GCF_047420705.1:Ba/Apache-2; GCF_047421435.1:A/Sa-1; GCF_059083935.1:D/Ep6/S19-121	PRJEA32651;PRJEA32653;PRJEA32655;PRJEA43167;PRJEA71065;PRJEA71069;PRJEA71077;PRJEA71079;PRJEA71085;PRJEA71087;PRJEA71093;PRJEA71095;PRJEA71099;PRJEA71101;PRJEA71103;PRJEA71105;PRJEA71107;PRJEA71109;PRJEA71115;PRJEA71127;PRJNA1137892;PRJNA1274633;PRJNA13885;PRJNA182150;PRJNA182165;PRJNA213111;PRJNA230246;PRJNA266925;PRJNA266926;PRJNA28583;PRJNA28585;PRJNA316787;PRJNA32183;PRJNA32185;PRJNA32187;PRJNA32189;PRJNA32539;PRJNA338746;PRJNA43141;PRJNA43143;PRJNA43145;PRJNA43147;PRJNA43149;PRJNA45;PRJNA45851;PRJNA47581;PRJNA48087;PRJNA48089;PRJNA53575;PRJNA53845;PRJNA53847;PRJNA53851;PRJNA53853;PRJNA53855;PRJNA53861;PRJNA66011;PRJNA66013;PRJNA886480
