accession	strain	tier	n_partners	nearest	nearest_ani	min_ani	median_ani	median_fraction	flag
GCF_018336295.1	L2/Hefty/ct054::Tn	excluded	124	GCF_018336275.1	99.9908	99.0741	99.1782	0.991	
GCF_018336315.1	L2/Hefty/ct404::Tn	excluded	124	GCF_018336275.1	99.9911	99.0848	99.1723	0.991	
GCF_018337015.1	L2/Hefty/ct590::Tn	excluded	124	GCF_000318885.1	99.9972	99.0865	99.1764	0.990	
GCF_025723025.1	L2f	primary	124	GCF_000068525.2	99.9968	99.0781	99.1785	0.988	
GCF_036285905.1	LGV II 434	quality-review	124	GCF_000318825.1	99.9994	99.0875	99.1864	0.990	
GCF_039778305.1	BQ05_F_6370	excluded	124	GCF_039778315.1	100.0000	99.0091	99.3434	0.993	
GCF_039778315.1	BQ05_M04431_F_6370	excluded	124	GCF_039778305.1	100.0000	99.0091	99.3434	0.993	
GCF_039778325.1	BQ06_D0_J_p225	excluded	124	GCF_039778345.1	100.0000	99.0113	99.3770	0.994	
GCF_039778335.1	BQ06_K06160_J_p225	excluded	124	GCF_039778345.1	100.0000	99.0114	99.3771	0.994	
GCF_039778345.1	BQ06_L04117_J_p225	excluded	124	GCF_039778335.1	100.0000	99.0114	99.3771	0.994	
GCF_039778415.1	BQ07_A11257_D_6319	excluded	124	GCF_039778425.1	100.0000	99.0551	99.3637	0.994	
GCF_039778425.1	BQ07_D0_D_6319	excluded	124	GCF_039778415.1	100.0000	99.0551	99.3637	0.994	
GCF_047414635.1	L3/404/LN	primary	124	GCF_000319105.1	99.9994	99.0845	99.1766	0.992	
GCF_047416045.1	L2-D/SF/L2c	primary	124	GCF_000220105.1	99.9933	99.1160	99.1851	0.991	
GCF_047416055.1	L1/440/LN	primary	124	GCF_036285905.1	99.9988	99.0932	99.1798	0.993	
GCF_047416065.1	K/UW-31/Cx	primary	124	GCF_000093005.1	99.9719	98.9691	99.3764	0.993	
GCF_047417355.1	J/UW-36/Cx	primary	124	GCF_002777035.1	99.9718	99.0015	99.3361	0.991	
GCF_047417365.1	Ia/UW-202	primary	124	GCF_000318785.1	99.9964	98.9600	99.3655	0.993	
GCF_047417375.1	Ja/UW-92	primary	124	GCF_002777095.1	99.9971	99.0073	99.3448	0.993	
GCF_047418505.1	G/UW-57/Cx	primary	124	GCF_047420685.1	99.9338	99.0105	99.3721	0.992	
GCF_047418515.1	H/UW-4/Cx	primary	124	GCF_002776845.1	99.9313	98.9933	99.3577	0.991	
GCF_047418525.1	I/UW-12/UR	primary	124	GCF_039778345.1	99.9060	98.9772	99.3736	0.994	
GCF_047419415.1	F/IC-Cal-13	primary	124	GCF_000304535.1	99.9902	99.0118	99.3601	0.993	
GCF_047419425.1	E/bour	primary	124	GCF_000318645.1	99.9982	99.0508	99.3275	0.994	
GCF_047419435.1	Da/TW-448	primary	124	GCF_039778425.1	99.8243	98.9607	99.3624	0.993	
GCF_047420685.1	D/UW-3/Cx	primary	124	GCF_000093005.1	99.9985	99.0160	99.3865	0.994	
GCF_047420695.1	C/TW-3/OT	primary	124	GCF_000507225.1	99.9978	98.9167	99.2598	0.993	
GCF_047420705.1	Ba/Apache-2	primary	124	GCF_000012125.1	99.8924	98.9113	99.2690	0.989	
GCF_047421435.1	A/Sa-1	primary	124	GCF_000026925.1	99.9013	98.8965	99.2669	0.993	
GCF_047421445.1	B/TW-5/OT	quality-review	124	GCF_000507225.1	99.9057	98.8982	99.2622	0.990	
GCF_059083935.1	D/Ep6/S19-121	primary	124	GCF_000068585.1	99.9466	99.0848	99.1749	0.990	
