accession	paired_genbank	assembly_name	organism_name	strain	isolate	serovar	biosample	bioproject	bioproject_all	bioproject_titles	submitter	release_date	sequencing_tech	assembly_method	assembly_level	assembly_status	source_database	total_length	gc_percent	n_contigs	n_chromosomes	collection_date	geo_loc_name	host	isolation_source	host_disease	ani_status	ani_match	checkm_completeness	checkm_contamination	biosample_text	tier	auto_verdict	weak_notes
GCF_000092725.1	GCA_000092725.1	ASM9272v1	Chlamydia trachomatis G/11074	G/11074			SAMN02603695	PRJNA43149	PRJNA43149	Chlamydia trachomatis G/11074 genome sequencing	Oregon State University	2010-05-21			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042875	41.5	1	1						OK	species_match	98.93	2.22	strain=G/11074; title=Sample from Chlamydia trachomatis G/11074; comments=Bacteria from the University of Washington Chlamydia Repository. The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000092745.1	GCA_000092745.1	ASM9274v1	Chlamydia trachomatis E/11023	E/11023			SAMN02603691	PRJNA43141	PRJNA43141	Chlamydia trachomatis E/11023 genome sequencing	Oregon State University	2010-05-21			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1043025	41.5	1	1						OK	species_match	98.75	2.22	strain=E/11023; title=Sample from Chlamydia trachomatis E/11023; comments=Bacteria from the University of Washington Chlamydia Repository. The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000092805.1	GCA_000092805.1	ASM9280v1	Chlamydia trachomatis G/9301	G/9301			SAMN02603696	PRJNA45851	PRJNA45851	Chlamydia trachomatis G/9301 genome sequencing project	Oregon State University	2010-05-28			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042811	41.5	1	1						OK	species_match	98.93	2.22	strain=G/9301; title=Sample from Chlamydia trachomatis G/9301; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000093005.1	GCA_000093005.1	ASM9300v1	Chlamydia trachomatis D-LC	D-LC			SAMN00014120	PRJNA48089	PRJNA48089	Chlamydia trachomatis D-LC genome sequencing	Integrated Genomics, Inc.	2010-06-09			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1050013	41.5	2	2						OK	species_match	99.02	2.22	strain=D-LC; title=Chlamydia trachomatis D-LC; comments=Sequencing Center: Integrated Genomics, Inc., 2355 S. Arlington Heights Road, Suite 270, Arlington Heights, IL 60005, USA  Source DNA and bacteria available from Harlan D. Caldwell at hcaldwell@niaid.nih.gov<mailto:hcaldwell@niaid.nih.gov>. The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000173475.1	GCA_000173475.1	ASM17347v1	Chlamydia trachomatis 6276	6276	6276	J	SAMN02470780	PRJNA32183	PRJNA32183	Clinical isolate	Oregon State University	2009-01-30			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1043181	41.5	1	1						OK	species_match	98.88	2.22	serovar=J; isolate=6276; title=Sample from Chlamydia trachomatis 6276; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000173495.1	GCA_000173495.1	ASM17349v1	Chlamydia trachomatis 6276s	6276s	6276s	J	SAMN02470781	PRJNA32185	PRJNA32185	Clinical isolate	Oregon State University	2009-01-30			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1043182	41.5	1	1						OK	species_match	98.88	2.22	serovar=J; isolate=6276s; title=Sample from Chlamydia trachomatis 6276s; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000173515.1	GCA_000173515.1	ASM17351v1	Chlamydia trachomatis 70	70	70	F	SAMN02470778	PRJNA32187	PRJNA32187	Clinical isolate	Oregon State University	2009-01-30			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1048006	41.5	1	1						OK	species_match	98.64	2.22	serovar=F; isolate=70; title=Sample from Chlamydia trachomatis 70; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000173535.1	GCA_000173535.1	ASM17353v1	Chlamydia trachomatis 70s	70s	70s	F	SAMN02470779	PRJNA32189	PRJNA32189	Clinical isolate	Oregon State University	2009-01-30			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046064	41.5	1	1						OK	species_match	98.64	2.22	serovar=F; isolate=70s; title=Sample from Chlamydia trachomatis 70s; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000174055.1	GCA_000174055.1	ASM17405v1	Chlamydia trachomatis D(s)2923	2923	2923	D(s)	SAMN02470775	PRJNA32539	PRJNA32539	Clinical isolate	Oregon State University	2009-01-30			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042757	41.5	1	1						OK	species_match	98.76	2.22	subsrc_note=clinical isolate; non-fusing phenotype; serovar=D(s); isolate=2923; title=Sample from Chlamydia trachomatis D(s)2923; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000210495.1	GCA_000210495.1	ASM21049v1	Chlamydia trachomatis Sweden2	Sweden2		E	SAMEA2271937	PRJEA43167	PRJEA43167	Chlamydia trachomatis Sweden2 genome sequencing project	Wellcome Trust Sanger Institute	2010-02-23			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042839	41.5	1	1						OK	species_match	98.67	2.22	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2271937; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:23:46Z; INSDC status=public; serovar=E; strain=Sweden2; Submitter Id=GCA_000210495; broker name=European Nucleotide Archive; individual_name=GCA_000210495; sample_name=GCA_000210495; title=BioSample entry for genome collection GCA_000210495; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000220105.1	GCA_000220105.1	ASM22010v1	Chlamydia trachomatis L2c	L2c			SAMN00011086	PRJNA47581	PRJNA47581	Chlamydia trachomatis L2c genome sequencing project	Emory University	2011-07-06			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1038313	41.5	1	1						OK	species_match	98.58	1.73	strain=L2c; title=Chalmydia trachomatis L2c; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000226605.1	GCA_000226605.1	ASM22660v1	Chlamydia trachomatis A2497	A2497			SAMN02603770	PRJNA53575	PRJNA53575	Chlamydia trachomatis A2497 genome sequencing	Rocky Mountain Laboratory	2011-09-28			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1051806	41.5	2	2						OK	species_match	98.93	2.22	strain=A2497; title=Sample from Chlamydia trachomatis A2497; comments=Contact for biological materials: Dr. Harlan D. Caldwell, Laboratory of Intracellular Pathogens, Rocky Mountain Laboratories, 903 South 4th Street, Hamilton, MT 59840 (hcaldwell@niaid.nih.gov) The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000284475.1	GCA_000284475.1	ASM28447v1	Chlamydia trachomatis A2497	A2497		A	SAMEA2272430	PRJEA32651	PRJEA32651	Clinical isolate	Wellcome Trust Sanger Institute	2012-01-11			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1044325	41.5	1	1						OK	species_match	98.93	2.22	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272430; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:24:02Z; INSDC status=public; serovar=A; strain=A2497; Submitter Id=GCA_000284475; broker name=European Nucleotide Archive; individual_name=GCA_000284475; sample_name=GCA_000284475; title=BioSample entry for genome collection GCA_000284475; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000304495.1	GCA_000304495.1	Cm_ESW3	Chlamydia trachomatis E/SW3	E/SW3			SAMEA2272525	PRJEA71079	PRJEA71079	Chlamydia trachomatis E/SW3 Phenotype or Genotype	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042903	41.5	1	1						OK	species_match	98.67	2.22	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272525; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:24:05Z; INSDC status=public; strain=E/SW3; Submitter Id=GCA_000304495; broker name=European Nucleotide Archive; individual_name=GCA_000304495; sample_name=GCA_000304495; title=BioSample entry for genome collection GCA_000304495; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000304515.1	GCA_000304515.1	Cm_FSW4	Chlamydia trachomatis F/SW4	F/SW4			SAMEA2272343	PRJEA71085	PRJEA71085	Chlamydia trachomatis F/SW4 Genome sequencing	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042736	41.5	1	1						OK	species_match	98.86	2.22	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272343; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:23:59Z; INSDC status=public; strain=F/SW4; Submitter Id=GCA_000304515; broker name=European Nucleotide Archive; individual_name=GCA_000304515; sample_name=GCA_000304515; title=BioSample entry for genome collection GCA_000304515; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000304535.1	GCA_000304535.1	Cm_FSW5	Chlamydia trachomatis F/SW5	F/SW5			SAMEA2272682	PRJEA71087	PRJEA71087	Chlamydia trachomatis F/SW5 Phenotype or Genotype	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042743	41.5	1	1						OK	species_match	98.86	2.22	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272682; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:24:11Z; INSDC status=public; strain=F/SW5; Submitter Id=GCA_000304535; broker name=European Nucleotide Archive; individual_name=GCA_000304535; sample_name=GCA_000304535; title=BioSample entry for genome collection GCA_000304535; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000318525.1	GCA_000318525.2	ASM31852v2	Chlamydia trachomatis A/363	A/363			SAMEA2272666	PRJEA71065	PRJEA71065	Chlamydia trachomatis A/363 Genome sequencing	Sanger Institute	2012-03-30			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1051528	41.5	2	2						OK	species_match	98.93	2.22	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272666; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:21Z; INSDC last update=2013-12-09T15:24:10Z; INSDC status=public; strain=A/363; Submitter Id=GCA_000318525; broker name=European Nucleotide Archive; individual_name=GCA_000318525; sample_name=GCA_000318525; title=BioSample entry for genome collection GCA_000318525; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000318565.1	GCA_000318565.1	ASM31856v1	Chlamydia trachomatis A/7249	A/7249			SAMEA2272774	PRJEA71069	PRJEA71069	Chlamydia trachomatis A/7249 Phenotype or Genotype	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1051879	41.5	2	2						OK	species_match	98.93	2.22	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272774; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:24:13Z; INSDC status=public; strain=A/7249; Submitter Id=GCA_000318565; broker name=European Nucleotide Archive; individual_name=GCA_000318565; sample_name=GCA_000318565; title=BioSample entry for genome collection GCA_000318565; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000318645.1	GCA_000318645.1	ASM31864v1	Chlamydia trachomatis E/Bour	E/Bour			SAMEA2272184	PRJEA71077	PRJEA71077	Chlamydia trachomatis E/Bour Phenotype or Genotype	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1050091	41.5	2	2						OK	species_match	98.67	2.22	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272184; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:23:54Z; INSDC status=public; strain=E/Bour; Submitter Id=GCA_000318645; broker name=European Nucleotide Archive; individual_name=GCA_000318645; sample_name=GCA_000318645; title=BioSample entry for genome collection GCA_000318645; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000318765.1	GCA_000318765.1	ASM31876v1	Chlamydia trachomatis Ia/SotonIa1	Ia/SotonIa1			SAMEA2272296	PRJEA71093	PRJEA71093	Chlamydia trachomatis Ia/SotonIa1 genome sequencing	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1050130	41.5	2	2						OK	species_match	98.93	1.73	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272296; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:23:58Z; INSDC status=public; strain=Ia/SotonIa1; Submitter Id=GCA_000318765; broker name=European Nucleotide Archive; individual_name=GCA_000318765; sample_name=GCA_000318765; title=BioSample entry for genome collection GCA_000318765; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000318785.1	GCA_000318785.1	ASM31878v1	Chlamydia trachomatis Ia/SotonIa3	Ia/SotonIa3			SAMEA2272048	PRJEA71095	PRJEA71095	Chlamydia trachomatis Ia/SotonIa3 genome sequencing	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1050283	41.5	2	2						OK	species_match	98.93	1.73	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272048; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:23:50Z; INSDC status=public; strain=Ia/SotonIa3; Submitter Id=GCA_000318785; broker name=European Nucleotide Archive; individual_name=GCA_000318785; sample_name=GCA_000318785; title=BioSample entry for genome collection GCA_000318785; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
