accession	file	md5_ok	n_sequences	total_len	reported_len	length_match	longest_seq	small_replicons
GCF_001655575.1	GCF_001655575.1.fna	True	2	1050231	1050231	True	1042738	1
GCF_001885175.1	GCF_001885175.1.fna	True	2	1033342	1033342	True	1025839	1
GCF_002088315.1	GCF_002088315.1.fna	True	1	1042393	1042393	True	1042393	0
GCF_002088335.1	GCF_002088335.1.fna	True	1	1042369	1042369	True	1042369	0
GCF_002088355.1	GCF_002088355.1.fna	True	1	1042376	1042376	True	1042376	0
GCF_002776745.1	GCF_002776745.1.fna	True	1	1047716	1047716	True	1047716	0
GCF_002776795.1	GCF_002776795.1.fna	True	1	1047716	1047716	True	1047716	0
GCF_002776845.1	GCF_002776845.1.fna	True	1	1048530	1048530	True	1048530	0
GCF_002776885.1	GCF_002776885.1.fna	True	1	1048538	1048538	True	1048538	0
GCF_002776955.1	GCF_002776955.1.fna	True	1	1042567	1042567	True	1042567	0
GCF_002776975.1	GCF_002776975.1.fna	True	1	1042575	1042575	True	1042575	0
GCF_002776995.1	GCF_002776995.1.fna	True	1	1042577	1042577	True	1042577	0
GCF_002777015.1	GCF_002777015.1.fna	True	1	1042578	1042578	True	1042578	0
GCF_002777035.1	GCF_002777035.1.fna	True	1	1048696	1048696	True	1048696	0
GCF_002777055.1	GCF_002777055.1.fna	True	1	1048696	1048696	True	1048696	0
GCF_002777075.1	GCF_002777075.1.fna	True	1	1048696	1048696	True	1048696	0
GCF_002777095.1	GCF_002777095.1.fna	True	1	1043246	1043246	True	1043246	0
GCF_002777135.1	GCF_002777135.1.fna	True	1	1048307	1048307	True	1048307	0
GCF_002777155.1	GCF_002777155.1.fna	True	1	1048306	1048306	True	1048306	0
GCF_004135145.1	GCF_004135145.1.fna	True	1	1054567	1054567	True	1054567	0
GCF_018336255.1	GCF_018336255.1.fna	True	1	1040265	1040265	True	1040265	0
GCF_018336275.1	GCF_018336275.1.fna	True	1	1040265	1040265	True	1040265	0
GCF_018336295.1	GCF_018336295.1.fna	True	1	1040265	1040265	True	1040265	0
GCF_018336315.1	GCF_018336315.1.fna	True	1	1040265	1040265	True	1040265	0
GCF_018337015.1	GCF_018337015.1.fna	True	1	1040265	1040265	True	1040265	0
GCF_025723025.1	GCF_025723025.1.fna	True	2	1045668	1045668	True	1038168	1
GCF_036285905.1	GCF_036285905.1.fna	True	1	1039264	1039264	True	1039264	0
GCF_039778305.1	GCF_039778305.1.fna	True	1	1048006	1048006	True	1048006	0
GCF_039778315.1	GCF_039778315.1.fna	True	1	1048006	1048006	True	1048006	0
GCF_039778325.1	GCF_039778325.1.fna	True	1	1042700	1042700	True	1042700	0
GCF_039778335.1	GCF_039778335.1.fna	True	1	1042701	1042701	True	1042701	0
GCF_039778345.1	GCF_039778345.1.fna	True	1	1042701	1042701	True	1042701	0
GCF_039778415.1	GCF_039778415.1.fna	True	1	1042473	1042473	True	1042473	0
GCF_039778425.1	GCF_039778425.1.fna	True	1	1042473	1042473	True	1042473	0
GCF_047414635.1	GCF_047414635.1.fna	True	1	1039420	1039420	True	1039420	0
GCF_047416045.1	GCF_047416045.1.fna	True	1	1038756	1038756	True	1038756	0
GCF_047416055.1	GCF_047416055.1.fna	True	1	1039486	1039486	True	1039486	0
GCF_047416065.1	GCF_047416065.1.fna	True	1	1043159	1043159	True	1043159	0
GCF_047417355.1	GCF_047417355.1.fna	True	1	1049015	1049015	True	1049015	0
GCF_047417365.1	GCF_047417365.1.fna	True	1	1042866	1042866	True	1042866	0
GCF_047417375.1	GCF_047417375.1.fna	True	1	1043805	1043805	True	1043805	0
GCF_047418505.1	GCF_047418505.1.fna	True	1	1042522	1042522	True	1042522	0
GCF_047418515.1	GCF_047418515.1.fna	True	1	1047421	1047421	True	1047421	0
GCF_047418525.1	GCF_047418525.1.fna	True	1	1043106	1043106	True	1043106	0
GCF_047419415.1	GCF_047419415.1.fna	True	1	1042745	1042745	True	1042745	0
GCF_047419425.1	GCF_047419425.1.fna	True	1	1042685	1042685	True	1042685	0
GCF_047419435.1	GCF_047419435.1.fna	True	1	1042206	1042206	True	1042206	0
GCF_047420685.1	GCF_047420685.1.fna	True	1	1042687	1042687	True	1042687	0
GCF_047420695.1	GCF_047420695.1.fna	True	1	1043661	1043661	True	1043661	0
GCF_047420705.1	GCF_047420705.1.fna	True	1	1044362	1044362	True	1044362	0
GCF_047421435.1	GCF_047421435.1.fna	True	1	1044098	1044098	True	1044098	0
GCF_047421445.1	GCF_047421445.1.fna	True	1	1033232	1033232	True	1033232	0
GCF_059083935.1	GCF_059083935.1.fna	True	2	1046451	1046451	True	1038951	1
