gene	gene_name	annotation	avg_copies	gene_length	excl_window	excl_gap_len	n_species_genus	n_species_clinical	n_genomes_aligned	ref_match	region_start	region_end	region_length
der	der	GTPase Der	1.00	1473	1-1473	1473	10	0	97	exact	724	1083	360
dnaG	dnaG	DNA primase	1.00	1788	1-1788	1788	10	1	97	exact	640	994	355
alaS	alaS	Alanine--tRNA ligase	1.00	3009	40-3009	2970	10	16	97	exact	1955	2308	354
cydA	cydA	Cytochrome bd ubiquinol oxidase subunit 1	1.00	1341	1-1341	1341	10	1	97	exact	252	605	354
mntB_2	mntB_2	Manganese transport system membrane protein MntB	1.00	876	1-876	876	10	0	97	exact	464	815	352
group_119		hypothetical protein	1.00	996	1-996	996	8	0	97	exact	531	879	349
pepF1	pepF1	Oligoendopeptidase F plasmid	1.00	1827	1-1553	1553	10	6	97	exact	1136	1484	349
tyrP_1	tyrP_1	Tyrosine-specific transport protein	1.00	1224	1-1224	1224	9	0	97	exact	1	348	348
greA	greA	Transcription elongation factor GreA	1.00	2148	1-2148	2148	10	0	97	exact	50	396	347
group_107		hypothetical protein	1.00	1101	1-1101	1101	10	0	97	exact	616	962	347
fmt	fmt	Methionyl-tRNA formyltransferase	1.00	951	1-951	951	8	0	97	exact	92	437	346
pcnB	pcnB	Poly(A) polymerase I	1.00	1278	1-1278	1278	10	1	97	exact	139	484	346
group_352		hypothetical protein	1.00	1314	1-1314	1314	10	0	97	exact	223	566	344
lipA	lipA	Lipoyl synthase	1.00	936	1-936	936	10	0	97	exact	571	912	342
group_196		hypothetical protein	1.00	522	1-522	522	10	0	97	exact	86	425	340
group_146		hypothetical protein	1.00	792	1-792	792	10	0	97	exact	327	662	336
group_66		hypothetical protein	1.00	1512	1-1512	1512	10	0	97	exact	916	1250	335
cadA	cadA	putative cadmium-transporting ATPase	1.00	1980	1-1980	1980	10	0	97	exact	896	1228	333
group_44		hypothetical protein	1.00	2490	735-2490	1756	10	0	97	exact	1957	2286	330
ppa	ppa	Inorganic pyrophosphatase	1.00	630	1-630	630	10	0	97	exact	1	329	329
secA	secA	Protein translocase subunit SecA	1.00	2910	1-2910	2910	10	14	97	exact	1480	1808	329
group_300		hypothetical protein	1.00	1260	1-1260	1260	10	0	97	exact	515	842	328
nifS	nifS	Cysteine desulfurase NifS	1.00	1125	1-1125	1125	10	0	97	exact	483	810	328
group_185		hypothetical protein	1.00	582	1-582	582	8	0	97	exact	159	483	325
group_57		hypothetical protein	1.00	1860	1-1860	1860	10	0	97	exact	1016	1339	324
nqrB	nqrB	Na(+)-translocating NADH-quinone reductase subunit B	1.00	1512	1-1512	1512	10	0	97	exact	430	753	324
ptrA	ptrA	Protease 3	1.00	2871	1-2871	2871	10	0	97	exact	529	851	323
lpxD	lpxD	UDP-3-O-acylglucosamine N-acyltransferase	1.00	1065	1-1065	1065	10	1	97	exact	470	791	322
pknD_2	pknD_2	Serine/threonine-protein kinase PknD	1.00	1473	1-1147	1147	9	0	97	exact	249	570	322
group_140		hypothetical protein	1.00	852	1-852	852	6	0	97	exact	417	735	319
mutS	mutS	DNA mismatch repair protein MutS	1.00	2463	1-2013	2013	10	8	97	exact	218	535	318
group_192		hypothetical protein	1.00	537	1-537	537	3	0	97	exact	183	499	317
murA1	murA1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1	1.00	1335	1-1335	1335	10	0	97	exact	886	1202	317
pgktpi	pgk/tpi	Bifunctional PGK/TIM	1.00	1212	1-1212	1212	10	2	97	exact	380	696	317
group_52		hypothetical protein	1.00	1953	1-1953	1953	10	0	97	exact	234	548	315
ybhL	ybhL	Inner membrane protein YbhL	1.00	717	1-717	717	10	0	97	exact	121	435	315
gmk	gmk	Guanylate kinase	1.00	618	1-618	618	10	0	97	exact	22	335	314
pgi	pgi	Glucose-6-phosphate isomerase	1.00	1578	322-1578	1257	10	1	97	exact	998	1311	314
surE	surE	5'-nucleotidase SurE	1.00	852	1-852	852	7	0	97	exact	539	852	314
group_294		hypothetical protein	1.00	861	1-861	861	10	0	97	exact	442	754	313
group_138		hypothetical protein	1.00	870	1-870	870	10	0	97	exact	1	311	311
dsbH	dsbH	Disulfide bond reductase DsbH	1.00	495	1-495	495	8	0	97	exact	74	383	310
eno	eno	Enolase	1.00	1275	1-1275	1275	10	14	97	exact	589	898	310
hemB	hemB	Delta-aminolevulinic acid dehydratase	1.00	1017	1-1017	1017	10	1	97	exact	292	601	310
hemY	hemY	Protoporphyrinogen oxidase	1.00	1275	1-1275	1275	9	0	97	exact	885	1194	310
fabH	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3	1.00	1026	1-1026	1026	10	1	97	exact	622	929	308
group_85		hypothetical protein	1.00	1320	1-1320	1320	10	0	97	exact	1013	1320	308
group_69		hypothetical protein	1.00	1482	1-1482	1482	7	0	97	exact	594	899	306
group_174		hypothetical protein	1.00	654	1-654	654	7	0	97	exact	348	652	305
tkt	tkt	Transketolase	1.00	2001	1-1226	1226	10	9	97	exact	673	977	305
dxr	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.00	1140	1-1140	1140	10	1	97	exact	280	583	304
group_98		hypothetical protein	1.00	1215	1-1215	1215	10	0	97	exact	167	470	304
mnmG	mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	1.00	1833	1-1833	1833	10	18	97	exact	355	658	304
group_315		hypothetical protein	1.00	2481	1-2481	2481	2	0	97	exact	593	895	303
group_77		hypothetical protein	1.00	1401	1-1401	1401	10	9	97	exact	450	752	303
chxR	chxR	Atypical response regulator protein ChxR	1.00	702	1-702	702	10	0	97	exact	383	683	301
clpB1	clpB1	Chaperone protein ClpB 1	1.00	2604	1-2604	2604	10	25	97	exact	2244	2543	300
group_259		hypothetical protein	1.00	300	1-300	300	7	0	97	exact	1	300	300
pcrA	pcrA	ATP-dependent DNA helicase PcrA	1.00	1968	1-1968	1968	10	6	97	exact	1602	1901	300
dapL	dapL	LL-diaminopimelate aminotransferase	1.00	1185	1-1185	1185	9	0	97	exact	554	852	299
mfd	mfd	Transcription-repair-coupling factor	1.00	3240	1-2481	2481	10	4	97	exact	357	655	299
rnz	rnz	Ribonuclease Z	1.00	915	1-915	915	10	0	97	exact	559	857	299
group_129		hypothetical protein	1.00	945	1-945	945	2	0	97	exact	1	298	298
group_131		hypothetical protein	1.00	921	1-921	921	10	0	97	exact	14	311	298
aas	aas	Bifunctional protein Aas	1.00	1614	1-1614	1614	10	0	97	exact	562	858	297
group_312		hypothetical protein	1.00	1728	1-1728	1728	5	0	97	exact	108	404	297
ispF	ispF	2-C-methyl-D-erythritol 24-cyclodiphosphate synthase	1.00	537	1-537	537	9	0	97	exact	1	297	297
aroE	aroE	Shikimate dehydrogenase (NADP(+))	1.00	1443	1-1443	1443	3	0	97	exact	25	320	296
mnmE	mnmE	tRNA modification GTPase MnmE	1.00	1335	1-1335	1335	10	1	97	exact	298	593	296
group_170		hypothetical protein	1.00	672	1-672	672	10	0	97	exact	332	626	295
group_54		hypothetical protein	1.00	1950	1-1950	1950	10	0	97	exact	1330	1623	294
pdhC_2	pdhC_2	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	1.00	1167	1-1167	1167	10	0	97	exact	432	725	294
fabI	fabI	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	1.00	897	1-897	897	10	0	97	exact	478	770	293
group_144		hypothetical protein	1.00	807	1-807	807	3	0	97	exact	403	695	293
gyrA_1	gyrA_1	DNA gyrase subunit A	1.00	2511	1-2511	2511	10	16	97	exact	2219	2511	293
yflS	yflS	Putative malate transporter YflS	1.00	1416	1-1416	1416	10	0	97	exact	1095	1387	293
group_121		hypothetical protein	1.00	990	1-990	990	10	0	97	exact	370	661	292
mqnA	mqnA	Chorismate dehydratase	1.00	822	1-822	822	4	0	97	exact	309	600	292
cca	cca	CCA-adding enzyme	1.00	1233	1-1233	1233	10	0	97	exact	943	1233	291
group_167		putative oxidoreductase CT_610	1.00	681	1-681	681	7	0	97	exact	61	351	291
leuS	leuS	Leucine--tRNA ligase	1.00	2460	1-2460	2460	10	15	97	exact	192	482	291
rnhC	rnhC	Ribonuclease HIII	1.00	903	1-903	903	10	0	97	exact	226	515	290
rnr	rnr	Ribonuclease R	1.00	2085	1-2085	2085	10	1	97	exact	1117	1406	290
serS	serS	Serine--tRNA ligase	1.00	1287	1-1287	1287	10	1	97	exact	838	1127	290
group_145		hypothetical protein	1.00	795	1-795	795	10	0	97	exact	215	503	289
ldh	ldh	Leucine dehydrogenase	1.00	1041	1-1041	1041	10	0	97	exact	680	968	289
group_72		Magnesium transporter MgtE	1.00	1473	1-1473	1473	10	0	97	exact	592	879	288
priA	priA	Primosomal protein N'	1.00	2262	1-1666	1666	10	3	97	exact	1249	1535	287
group_229		hypothetical protein	1.00	432	1-432	432	10	0	97	exact	148	432	285
recB	recB	RecBCD enzyme subunit RecB	1.00	3081	1-3081	3081	10	0	97	exact	1567	1851	285
aroC	aroC	Chorismate synthase	1.00	1074	1-1074	1074	10	0	97	exact	1	284	284
dnaC	dnaC	Replicative DNA helicase	1.00	1419	1-1419	1419	10	1	97	exact	955	1238	284
group_163		hypothetical protein	1.00	717	1-717	717	10	0	97	exact	71	354	284
pknD_1	pknD_1	Serine/threonine-protein kinase PknD	1.00	2805	1-2805	2805	10	0	97	exact	1339	1622	284
oppC	oppC	Oligopeptide transport system permease protein OppC	1.00	846	1-846	846	10	0	97	exact	370	651	282
group_186		hypothetical protein	1.00	579	1-579	579	2	0	97	exact	111	390	280
lpxG	lpxG	UDP-23-diacylglucosamine pyrophosphatase LpxG	1.00	978	1-978	978	10	0	97	exact	249	527	279
group_250		hypothetical protein	1.00	339	1-339	339	2	0	97	exact	62	339	278
pmpI	pmpI	putative outer membrane protein PmpI	1.00	2637	814-2637	1824	4	0	97	exact	1180	1457	278
prfA	prfA	Peptide chain release factor RF1	1.00	1080	1-1080	1080	10	14	97	exact	727	1004	278
yycJ	yycJ	Putative metallo-hydrolase YycJ	1.00	789	1-789	789	10	0	97	exact	1	278	278
mnmA	mnmA	tRNA-specific 2-thiouridylase MnmA	1.00	1077	1-1077	1077	10	7	97	exact	503	779	277
topA	topA	DNA topoisomerase 1	1.00	2574	1-2574	2574	10	5	97	exact	2017	2293	277
oppA_1	oppA_1	Oligopeptide-binding protein OppA	1.00	1281	1-1035	1035	3	0	97	exact	400	674	275
group_291		hypothetical protein	1.00	1266	1-1266	1266	9	0	97	exact	984	1257	274
hemE	hemE	Uroporphyrinogen decarboxylase	1.00	1005	1-1005	1005	9	0	97	exact	172	445	274
group_182		hypothetical protein	1.00	585	1-585	585	10	0	97	exact	313	585	273
hemC	hemC	Porphobilinogen deaminase	1.00	726	1-597	597	4	0	97	exact	326	597	272
group_122		hypothetical protein	1.00	990	1-936	936	9	0	97	exact	480	750	271
group_194		hypothetical protein	1.00	525	1-525	525	2	0	97	exact	224	494	271
tolB	tolB	Tol-Pal system protein TolB	1.00	1296	1-1296	1296	10	0	97	exact	688	958	271
accC	accC	Biotin carboxylase	1.00	1374	1-1374	1374	10	7	97	exact	1105	1374	270
ruvC	ruvC	Crossover junction endodeoxyribonuclease RuvC	1.00	513	1-513	513	8	0	97	exact	213	481	269
tlcA_2	tlcA_2	ADPATP carrier protein 1	1.00	1623	1-1623	1623	10	0	97	exact	1	269	269
group_193		hypothetical protein	1.00	528	1-528	528	8	0	97	exact	261	528	268
group_45		hypothetical protein	1.00	2499	1-2499	2499	8	0	97	exact	1182	1449	268
glgA	glgA	Glycogen synthase	1.00	1425	1-1425	1425	10	0	97	exact	175	440	266
group_7		hypothetical protein	1.00	3600	1-3600	3600	10	0	97	exact	1	266	266
rsmH	rsmH	Ribosomal RNA small subunit methyltransferase H	1.00	903	1-903	903	10	0	97	exact	209	474	266
group_58		hypothetical protein	1.00	1809	1-1809	1809	10	0	97	exact	1212	1476	265
pckG	pckG	Phosphoenolpyruvate carboxykinase [GTP]	1.00	1800	1-1800	1800	10	1	97	exact	339	603	265
hemW	hemW	Heme chaperone HemW	1.00	1137	1-1137	1137	10	0	97	exact	730	993	264
cpoB	cpoB	Cell division coordinator CpoB	1.00	957	1-957	957	9	0	97	exact	634	896	263
group_201		hypothetical protein	1.00	507	1-507	507	10	0	97	exact	145	407	263
group_310		hypothetical protein	1.00	1257	1-1257	1257	10	0	97	exact	517	779	263
group_51		hypothetical protein	1.00	1977	71-1977	1907	10	0	97	exact	1120	1381	262
group_67		hypothetical protein	1.00	2865	1-2865	2865	10	0	97	exact	2360	2621	262
group_88		hypothetical protein	1.00	1284	1-1284	1284	10	0	97	exact	712	973	262
group_30		hypothetical protein	1.00	2787	1-2787	2787	10	0	97	exact	2020	2280	261
group_97		hypothetical protein	1.00	1215	1-1215	1215	8	0	97	exact	517	777	261
map	map	Methionine aminopeptidase	1.00	876	1-876	876	10	0	97	exact	582	842	261
group_136		hypothetical protein	1.00	870	1-870	870	10	0	97	exact	79	338	260
group_157		hypothetical protein	1.00	744	1-744	744	7	0	97	exact	400	659	260
group_135		hypothetical protein	1.00	873	1-873	873	3	0	97	exact	190	448	259
hflX	hflX	GTPase HflX	1.00	1344	1-1344	1344	10	2	97	exact	222	480	259
dapF	dapF	Diaminopimelate epimerase	1.00	828	60-828	769	8	0	97	exact	571	828	258
group_143		hypothetical protein	1.00	831	1-831	831	10	0	97	exact	574	831	258
group_346		hypothetical protein	1.00	897	1-897	897	10	0	97	exact	258	515	258
group_177		hypothetical protein	1.00	642	1-642	642	2	0	97	exact	149	405	257
group_73		hypothetical protein	1.00	1473	1-1473	1473	10	0	97	exact	1006	1262	257
oppD_2	oppD_2	Oligopeptide transport ATP-binding protein OppD	1.00	966	1-966	966	10	5	97	exact	437	692	256
glgC	glgC	Glucose-1-phosphate adenylyltransferase	1.00	1326	1-1326	1326	10	0	97	exact	934	1188	255
pgcA	pgcA	Phosphoglucomutase	1.00	1782	1-1782	1782	10	0	97	exact	1284	1538	255
tmk	tmk	Thymidylate kinase	1.00	612	1-612	612	7	0	97	exact	134	388	255
bepA	bepA	Beta-barrel assembly-enhancing protease	1.00	1008	1-1008	1008	10	0	97	exact	1	254	254
group_151		hypothetical protein	1.00	783	1-783	783	10	0	97	exact	1	254	254
group_190		Early upstream open reading frame	1.00	552	1-552	552	10	0	97	exact	1	254	254
rlmL	rlmL	Ribosomal RNA large subunit methyltransferase K/L	1.00	828	1-828	828	10	0	97	exact	1	254	254
group_235		hypothetical protein	1.00	408	1-408	408	2	0	97	exact	110	362	253
group_91		hypothetical protein	1.00	1245	1-1245	1245	10	0	97	exact	674	926	253
menG	menG	Demethylmenaquinone methyltransferase	1.00	654	1-654	654	3	0	97	exact	1	253	253
plqA	plqA	4-hydroxybenzoate solanesyltransferase	1.00	909	1-909	909	7	0	97	exact	9	261	253
adk	adk	Adenylate kinase	1.00	738	1-738	738	4	0	97	exact	204	455	252
group_53		hypothetical protein	1.00	1950	1-1950	1950	10	0	97	exact	690	941	252
gadC	gadC	Glutamate/gamma-aminobutyrate antiporter	1.00	1401	1-1401	1401	10	0	97	exact	541	791	251
group_125		hypothetical protein	1.00	966	1-966	966	10	0	97	exact	619	869	251
rbn	rbn	Ribonuclease BN	1.00	828	1-828	828	10	0	97	exact	118	367	250
hxcR	hxcR	putative type II secretion system protein HxcR	1.00	1506	1-1506	1506	10	0	97	exact	310	558	249
flhA	flhA	Flagellar biosynthesis protein FlhA	1.00	1818	1-1818	1818	10	1	97	exact	1571	1818	248
group_81		hypothetical protein	1.00	1353	1-1353	1353	10	0	97	exact	892	1139	248
group_132		hypothetical protein	1.00	918	1-918	918	9	0	97	exact	34	280	247
hemH	hemH	Ferrochelatase	1.00	945	1-945	945	8	0	97	exact	164	410	247
pgsA_1	pgsA_1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	1.00	555	1-555	555	9	0	97	exact	151	396	246
group_95		hypothetical protein	1.00	1224	1-1224	1224	10	0	97	exact	605	849	245
stp	stp	Serine/threonine phosphatase stp	1.00	747	1-747	747	10	0	97	exact	442	686	245
group_241		hypothetical protein	1.00	369	1-369	369	7	0	97	exact	1	244	244
oppA_2	oppA_2	Oligopeptide-binding protein OppA	1.00	1557	1-1557	1557	6	0	97	exact	303	546	244
pfp_1	pfp_1	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	1.00	1662	1-1662	1662	10	0	97	exact	1002	1245	244
rpoN	rpoN	RNA polymerase sigma-54 factor	1.00	1311	1-1311	1311	9	0	97	exact	749	992	244
ribC	ribC	Riboflavin synthase	1.00	600	1-600	600	4	0	97	exact	358	600	243
glmM	glmM	Phosphoglucosamine mutase	1.00	1377	1-1377	1377	10	4	97	exact	1122	1363	242
pkn1	pkn1	Serine/threonine-protein kinase Pkn1	1.00	1845	1-1845	1845	10	0	97	exact	1041	1282	242
ttcA	ttcA	tRNA-cytidine(32) 2-sulfurtransferase	1.00	765	1-765	765	10	0	97	exact	1	242	242
group_82		hypothetical protein	1.00	1347	1-1347	1347	10	0	97	exact	128	368	241
group_106		hypothetical protein	1.00	1110	1-1110	1110	10	0	97	exact	556	795	240
group_216		hypothetical protein	1.00	477	1-477	477	8	0	97	exact	1	240	240
group_230		hypothetical protein	1.00	429	1-429	429	2	0	97	exact	7	246	240
hemA	hemA	Glutamyl-tRNA reductase	1.00	1044	1-1044	1044	8	0	97	exact	284	523	240
polA	polA	DNA polymerase I	1.00	2601	1-2601	2601	10	2	97	exact	533	772	240
sctC_1	sctC_1	Type 3 secretion system secretin	1.00	2283	1-2283	2283	10	0	97	exact	1414	1653	240
trxB	trxB	Thioredoxin reductase	1.00	1074	1-1074	1074	10	2	97	exact	117	356	240
dppE	dppE	Dipeptide-binding protein DppE	1.00	1590	1-1590	1590	8	0	97	exact	232	470	239
group_165		hypothetical protein	1.00	699	1-699	699	10	0	97	exact	1	239	239
kgd	kgd	Multifunctional 2-oxoglutarate metabolism enzyme	1.00	2718	1-2718	2718	10	4	97	exact	173	411	239
pyk	pyk	Pyruvate kinase	1.00	1458	748-1458	711	10	6	97	exact	1036	1274	239
group_102		hypothetical protein	1.00	1173	1-1173	1173	10	0	97	exact	492	729	238
murG	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	1.00	1029	1-1029	1029	10	0	97	exact	200	437	238
pdhC_1	pdhC_1	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	1.00	1290	1-1290	1290	10	0	97	exact	583	819	237
