gene	gene_name	annotation	n_primary_genomes	avg_copies	length	genus_any_maxgap	genus_any_n150	clinical_any_maxgap	clinical_any_n150	all_any_maxgap	all_any_n150	all_any_coords	genus_id85_maxgap	genus_id85_n150	clinical_id85_maxgap	clinical_id85_n150	all_id85_maxgap	all_id85_n150	all_id85_coords	n_species_genus	n_species_clinical
group_367		hypothetical protein	97	1.00	444	444	1	444	1	444	1	1-444	444	1	444	1	444	1	1-444	0	0
group_349		hypothetical protein	97	1.00	402	402	1	402	1	402	1	1-402	402	1	402	1	402	1	1-402	0	0
group_286		hypothetical protein	97	1.00	375	375	1	375	1	375	1	1-375	375	1	375	1	375	1	1-375	0	0
group_348		hypothetical protein	97	1.00	369	369	1	369	1	369	1	1-369	369	1	369	1	369	1	1-369	0	0
group_369		hypothetical protein	97	1.45	1776	343	1	1776	1	343	1	63-405	1776	1	1776	1	1776	1	1-1776	2	0
group_69		hypothetical protein	97	1.00	1482	337	1	1482	1	337	1	196-532	1482	1	1482	1	1482	1	1-1482	7	0
group_108		hypothetical protein	97	1.00	1092	328	1	1092	1	328	1	547-874	1092	1	1092	1	1092	1	1-1092	2	0
group_12		hypothetical protein	97	1.01	1698	309	1	1698	1	309	1	1390-1698	1698	1	1698	1	1698	1	1-1698	2	0
group_40		hypothetical protein	97	1.04	1749	297	2	1749	1	297	2	1453-1749	1749	1	1749	1	1749	1	1-1749	2	0
cdu1	cdu1	Deubiquitinase and deneddylase Dub1	97	1.00	1257	287	1	1257	1	287	1	218-504	1257	1	1257	1	1257	1	1-1257	2	0
group_336		hypothetical protein	97	1.00	276	276	1	276	1	276	1	1-276	276	1	276	1	276	1	1-276	0	0
group_79		hypothetical protein	97	2.05	1953	246	1	1953	1	246	1	1-246	1953	1	1953	1	1953	1	1-1953	2	0
group_13		hypothetical protein	97	1.00	648	213	1	648	1	213	1	436-648	648	1	648	1	648	1	1-648	1	0
incA	;incA	hypothetical protein;Inclusion membrane protein A	97	1.01	822	193	1	822	1	193	1	630-822	822	1	822	1	822	1	1-822	2	0
group_277		hypothetical protein	97	1.00	183	183	1	183	1	183	1	1-183	183	1	183	1	183	1	1-183	0	0
group_31		hypothetical protein	97	1.08	1488	178	1	1488	1	178	1	1-178	1488	1	1488	1	1488	1	1-1488	2	0
group_313		hypothetical protein	97	1.00	708	158	1	708	1	158	1	160-317	543	1	708	1	543	1	80-622	9	0
group_10		hypothetical protein	97	1.00	156	156	1	156	1	156	1	1-156	156	1	156	1	156	1	1-156	0	0
incE	incE	Inclusion membrane protein E	97	1.00	399	153	1	399	1	153	1	247-399	399	1	399	1	399	1	1-399	1	0
group_287		hypothetical protein	97	1.00	537	148	0	537	1	148	0	1-148	537	1	537	1	537	1	1-537	2	0
group_333		hypothetical protein	97	1.00	558	129	0	558	1	129	0	1-129	558	1	558	1	558	1	1-558	1	0
group_43		hypothetical protein	97	1.00	312	123	0	312	1	123	0	190-312	312	1	312	1	312	1	1-312	1	0
group_320		hypothetical protein	97	1.00	972	120	0	972	1	120	0	1-120	972	1	972	1	972	1	1-972	2	0
group_344		hypothetical protein	97	1.00	537	117	0	537	1	117	0	1-117	537	1	537	1	537	1	1-537	1	0
group_366		hypothetical protein	97	1.00	498	117	0	498	1	117	0	1-117	345	1	498	1	345	1	1-345	2	0
trpB_2~~~trpB_1~~~trpB	trpB_2;trpB_1;trpB	Tryptophan synthase beta chain	97	1.01	1263	115	0	281	2	115	0	1-115	1263	1	1263	1	1263	1	1-1263	4	4
tlcA_2	tlcA_2	ADPATP carrier protein 1	97	1.00	1623	112	0	1623	1	112	0	1512-1623	1623	1	1623	1	1623	1	1-1623	10	0
group_133		hypothetical protein	97	1.00	912	106	0	912	1	106	0	1-106	912	1	912	1	912	1	1-912	6	0
incD	incD	Inclusion membrane protein D	97	1.00	441	102	0	441	1	102	0	1-102	441	1	441	1	441	1	1-441	1	0
pmpB_1~~~pmpB~~~pmpB_2	pmpB_1;pmpB;pmpB_2	putative outer membrane protein PmpB	97	1.05	5259	101	0	5259	1	101	0	613-713	5259	1	5259	1	5259	1	1-5259	10	0
group_235		hypothetical protein	97	1.00	408	99	0	408	1	99	0	1-99	408	1	408	1	408	1	1-408	2	0
group_256		hypothetical protein	97	1.00	321	97	0	321	1	97	0	225-321	321	1	321	1	321	1	1-321	1	0
group_242		hypothetical protein	97	1.00	366	92	0	366	1	92	0	275-366	366	1	366	1	366	1	1-366	2	0
rluC	rluC	Ribosomal large subunit pseudouridine synthase C	97	1.00	912	88	0	912	1	88	0	825-912	600	2	912	1	600	2	1-600	9	0
group_284		hypothetical protein	97	1.00	504	87	0	504	1	87	0	418-504	504	1	504	1	504	1	1-504	2	0
group_25		Single-stranded DNA-binding protein	97	1.00	534	85	0	534	1	85	0	450-534	85	0	534	1	85	0	450-534	10	0
group_14		hypothetical protein	97	1.00	696	82	0	696	1	82	0	1-82	696	1	696	1	696	1	1-696	2	0
group_33		hypothetical protein;Farnesyl diphosphate synthase	97	1.01	876	79	0	876	1	79	0	798-876	876	1	876	1	876	1	1-876	6	0
group_35		hypothetical protein	97	1.16	597	72	0	597	1	72	0	1-72	597	1	597	1	597	1	1-597	2	0
group_50		hypothetical protein	97	1.00	459	71	0	459	1	71	0	389-459	459	1	459	1	459	1	1-459	2	0
xerD	xerD	Tyrosine recombinase XerD	97	1.00	963	70	0	963	1	70	0	1-70	963	1	963	1	963	1	1-963	8	0
group_252		hypothetical protein	97	1.00	333	69	0	333	1	69	0	265-333	333	1	333	1	333	1	1-333	1	0
group_297		S-adenosylmethionine/S-adenosylhomocysteine transporter	97	1.00	984	67	0	984	1	67	0	1-67	984	1	984	1	984	1	1-984	10	0
nqrE	nqrE	Na(+)-translocating NADH-quinone reductase subunit E	97	1.00	735	67	0	735	1	67	0	669-735	90	0	735	1	90	0	646-735	10	0
group_299		hypothetical protein	97	1.00	687	66	0	687	1	66	0	1-66	687	1	687	1	687	1	1-687	2	0
group_126		hypothetical protein	97	1.00	957	57	0	957	1	57	0	901-957	957	1	957	1	957	1	1-957	10	0
lnt	lnt	Apolipoprotein N-acyltransferase	97	1.00	1629	56	0	1629	1	56	0	1574-1629	1629	1	1629	1	1629	1	1-1629	10	0
group_305		hypothetical protein	97	1.00	225	55	0	225	1	55	0	171-225	225	1	225	1	225	1	1-225	2	0
cdu2_2~~~cdu2_1~~~cdu2	cdu2_2;cdu2_1;cdu2	Deubiquitinase and deneddylase Dub2	97	1.03	1020	54	0	1020	1	54	0	1-54	1020	1	1020	1	1020	1	1-1020	2	0
group_17		hypothetical protein	97	1.00	318	52	0	318	1	52	0	267-318	318	1	318	1	318	1	1-318	2	0
group_2		hypothetical protein	97	1.00	351	52	0	351	1	52	0	300-351	351	1	351	1	351	1	1-351	1	0
adk	adk	Adenylate kinase	97	1.00	738	48	0	738	1	48	0	691-738	738	1	738	1	738	1	1-738	4	0
oppA_1	oppA_1	Oligopeptide-binding protein OppA	97	1.00	1281	48	0	1281	1	48	0	1-48	1035	2	1281	1	1035	2	1-1035	3	0
oppD_1	oppD_1	Oligopeptide transport ATP-binding protein OppD	97	1.00	834	48	0	834	1	48	0	787-834	834	1	834	1	834	1	1-834	9	0
uvrA	;uvrA	hypothetical protein;UvrABC system protein A	97	1.01	5361	46	0	2695	2	46	0	5316-5361	5361	1	5361	1	5361	1	1-5361	10	1
group_330		hypothetical protein	97	1.01	1071	45	0	1071	1	45	0	1027-1071	1071	1	1071	1	1071	1	1-1071	2	0
group_92		hypothetical protein	97	1.00	801	45	0	801	1	45	0	1-45	801	1	801	1	801	1	1-801	2	0
gyrA_1	gyrA_1	DNA gyrase subunit A	97	1.00	2511	45	0	1497	1	45	0	2467-2511	2511	1	2511	1	2511	1	1-2511	10	16
group_149		hypothetical protein	97	1.00	786	43	0	786	1	43	0	1-43	786	1	786	1	786	1	1-786	7	0
group_88		hypothetical protein	97	1.00	1284	43	0	1284	1	43	0	1242-1284	1284	1	1284	1	1284	1	1-1284	10	0
ileS	ileS	Isoleucine--tRNA ligase	97	1.00	3126	43	0	1350	3	43	0	3084-3126	3126	1	3126	1	3126	1	1-3126	10	1
glgX	glgX	Glycogen operon protein GlgX	97	1.00	2073	42	0	2073	1	42	0	1-42	2073	1	2073	1	2073	1	1-2073	10	0
group_187		hypothetical protein	97	1.00	570	42	0	570	1	42	0	529-570	570	1	570	1	570	1	1-570	2	0
recO	recO	DNA repair protein RecO	97	1.00	747	42	0	747	1	42	0	706-747	747	1	747	1	747	1	1-747	10	0
group_345		hypothetical protein	97	1.00	255	41	0	255	1	41	0	215-255	255	1	255	1	255	1	1-255	1	0
trpA	trpA;	Tryptophan synthase alpha chain;hypothetical protein	97	1.04	762	40	0	762	1	40	0	723-762	762	1	762	1	762	1	1-762	3	0
rnr	rnr	Ribonuclease R	97	1.00	2085	38	0	1476	2	38	0	2048-2085	2085	1	2085	1	2085	1	1-2085	10	1
group_181		hypothetical protein	97	1.00	591	37	0	591	1	37	0	555-591	591	1	591	1	591	1	1-591	3	0
group_291		hypothetical protein	97	1.00	1266	36	0	1266	1	36	0	1231-1266	1266	1	1266	1	1266	1	1-1266	9	0
group_292		hypothetical protein	97	1.00	165	35	0	165	1	35	0	131-165	165	1	165	1	165	1	1-165	2	0
rsmD	rsmD	Ribosomal RNA small subunit methyltransferase D	97	1.00	576	34	0	576	1	34	0	543-576	576	1	576	1	576	1	1-576	10	0
group_60		hypothetical protein	97	1.00	1770	33	0	1770	1	33	0	1738-1770	1770	1	1770	1	1770	1	1-1770	10	0
murA1	murA1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1	97	1.00	1335	33	0	1335	1	33	0	1303-1335	1335	1	1335	1	1335	1	1-1335	10	0
group_295		hypothetical protein	97	1.00	4350	32	0	4350	1	32	0	1-32	4350	1	4350	1	4350	1	1-4350	2	0
group_231		hypothetical protein	97	1.00	426	30	0	426	1	30	0	397-426	33	0	426	1	33	0	394-426	10	0
group_318		hypothetical protein	97	1.00	660	30	0	660	1	30	0	631-660	660	1	660	1	660	1	1-660	2	0
rpoN	rpoN	RNA polymerase sigma-54 factor	97	1.00	1311	30	0	1311	1	30	0	1282-1311	1311	1	1311	1	1311	1	1-1311	9	0
group_154		hypothetical protein	97	1.00	759	29	0	759	1	29	0	1-29	759	1	759	1	759	1	1-759	9	0
group_234		hypothetical protein	97	1.00	414	27	0	414	1	27	0	388-414	414	1	414	1	414	1	1-414	2	0
hemA	hemA	Glutamyl-tRNA reductase	97	1.00	1044	26	0	1044	1	26	0	1019-1044	1044	1	1044	1	1044	1	1-1044	8	0
lpxL	lpxL	Lipid A biosynthesis lauroyltransferase	97	1.00	1368	26	0	1368	1	26	0	1343-1368	1368	1	1368	1	1368	1	1-1368	8	0
group_307		hypothetical protein	97	1.00	348	25	0	348	1	25	0	324-348	348	1	348	1	348	1	1-348	2	0
trpF	trpF	N-(5'-phosphoribosyl)anthranilate isomerase	97	1.00	627	25	0	627	1	25	0	603-627	627	1	627	1	627	1	1-627	3	0
groL1	groL1	60 kDa chaperonin 1	97	1.00	1602	24	0	1602	1	24	0	1579-1602	1602	1	1602	1	1602	1	1-1602	2	0
group_177		hypothetical protein	97	1.00	642	24	0	642	1	24	0	1-24	642	1	642	1	642	1	1-642	2	0
group_208		hypothetical protein	97	1.00	492	23	0	492	1	23	0	470-492	315	1	492	1	315	1	1-315	3	0
incF	incF	Inclusion membrane protein F	97	1.00	303	23	0	303	1	23	0	281-303	303	1	303	1	303	1	1-303	2	0
artM	artM	Arginine transport ATP-binding protein ArtM	97	1.00	702	22	0	355	2	22	0	681-702	702	1	702	1	702	1	1-702	9	6
fmt	fmt	Methionyl-tRNA formyltransferase	97	1.00	951	22	0	951	1	22	0	930-951	951	1	951	1	951	1	1-951	8	0
group_303		hypothetical protein	97	1.00	438	22	0	438	1	22	0	417-438	438	1	438	1	438	1	1-438	4	0
ytfF	ytfF	Inner membrane protein YtfF	97	1.00	1026	22	0	1026	1	22	0	1005-1026	1026	1	1026	1	1026	1	1-1026	9	0
oppF	oppF	Oligopeptide transport ATP-binding protein OppF	97	1.00	831	21	0	831	1	21	0	811-831	831	1	831	1	831	1	1-831	10	0
group_129		hypothetical protein	97	1.00	945	20	0	945	1	20	0	926-945	945	1	945	1	945	1	1-945	2	0
group_207		hypothetical protein	97	1.00	492	20	0	492	1	20	0	473-492	22	0	492	1	22	0	471-492	9	0
group_229		hypothetical protein	97	1.00	432	20	0	432	1	20	0	413-432	432	1	432	1	432	1	1-432	10	0
pyrG	pyrG	CTP synthase	97	1.00	1620	20	0	462	2	20	0	1601-1620	1620	1	1620	1	1620	1	1-1620	10	14
rnpA	rnpA	Ribonuclease P protein component	97	1.00	363	20	0	363	1	20	0	344-363	363	1	363	1	363	1	1-363	6	0
group_308		hypothetical protein	97	1.00	306	19	0	306	1	19	0	288-306	306	1	306	1	306	1	1-306	2	0
btuD	btuD	Vitamin B12 import ATP-binding protein BtuD	97	1.00	1941	18	0	1941	1	18	0	1924-1941	1941	1	1941	1	1941	1	1-1941	10	0
ispD	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	97	1.00	660	18	0	660	1	18	0	643-660	660	1	660	1	660	1	1-660	8	0
mqnC	mqnC	Cyclic dehypoxanthine futalosine synthase	97	1.00	1053	18	0	1053	1	18	0	1036-1053	1053	1	1053	1	1053	1	1-1053	10	0
group_52		hypothetical protein	97	1.00	1953	17	0	1953	1	17	0	1937-1953	1953	1	1953	1	1953	1	1-1953	10	0
lipA	lipA	Lipoyl synthase	97	1.00	936	17	0	936	1	17	0	920-936	936	1	936	1	936	1	1-936	10	0
ndk	ndk	Nucleoside diphosphate kinase	97	1.00	471	17	0	150	1	17	0	1-17	17	0	471	1	17	0	1-17	10	4
dusB	dusB	tRNA-dihydrouridine synthase B	97	1.00	1005	16	0	1005	1	16	0	990-1005	1005	1	1005	1	1005	1	1-1005	10	0
group_159		hypothetical protein	97	1.00	732	16	0	732	1	16	0	717-732	732	1	732	1	732	1	1-732	2	0
group_174		hypothetical protein	97	1.00	654	16	0	654	1	16	0	639-654	654	1	654	1	654	1	1-654	7	0
hemC	hemC	Porphobilinogen deaminase	97	1.00	726	16	0	726	1	16	0	711-726	597	1	726	1	597	1	1-597	4	0
nqrA	nqrA	Na(+)-translocating NADH-quinone reductase subunit A	97	1.00	1398	16	0	1398	1	16	0	1383-1398	1398	1	1398	1	1398	1	1-1398	10	0
gltP	gltP	Proton/glutamate-aspartate symporter	97	1.00	1248	15	0	1248	1	15	0	1234-1248	1248	1	1248	1	1248	1	1-1248	10	0
group_128		hypothetical protein	97	1.00	948	15	0	948	1	15	0	934-948	948	1	948	1	948	1	1-948	10	0
group_150		hypothetical protein	97	1.00	786	15	0	786	1	15	0	772-786	786	1	786	1	786	1	1-786	7	0
group_253		hypothetical protein	97	1.00	333	15	0	333	1	15	0	319-333	333	1	333	1	333	1	1-333	2	0
nth	nth	Endonuclease III	97	1.00	636	15	0	636	1	15	0	1-15	636	1	636	1	636	1	1-636	9	0
plsX	plsX	Phosphate acyltransferase	97	1.00	966	15	0	966	1	15	0	952-966	966	1	966	1	966	1	1-966	10	0
rluB	;rluB	hypothetical protein;Ribosomal large subunit pseudouridine synthase B	97	1.00	813	15	0	813	1	15	0	1-15	813	1	813	1	813	1	1-813	10	0
rsmB	;rsmB	hypothetical protein;Ribosomal RNA small subunit methyltransferase B	97	1.33	1107	15	0	1107	1	15	0	1093-1107	606	2	1107	1	606	2	1-606	10	0
uvrC	uvrC	UvrABC system protein C	97	1.00	1797	15	0	1797	1	15	0	1783-1797	1797	1	1797	1	1797	1	1-1797	10	0
gndA	gndA	6-phosphogluconate dehydrogenase NADP(+)-dependent decarboxylating	97	1.00	1443	13	0	424	3	13	0	1431-1443	1443	1	1443	1	1443	1	1-1443	10	6
group_130		hypothetical protein	97	1.00	930	13	0	930	1	13	0	918-930	930	1	930	1	930	1	1-930	7	0
odhB	odhB	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	97	1.00	1101	13	0	845	1	13	0	1089-1101	1101	1	1101	1	1101	1	1-1101	10	3
amn	amn	AMP nucleosidase	97	1.00	870	12	0	870	1	12	0	1-12	870	1	870	1	870	1	1-870	10	0
group_109		hypothetical protein	97	1.00	1092	12	0	1092	1	12	0	1081-1092	1092	1	1092	1	1092	1	1-1092	9	0
group_20		hypothetical protein	97	1.00	642	12	0	642	1	12	0	631-642	642	1	642	1	642	1	1-642	7	0
group_247		hypothetical protein	97	1.00	348	12	0	348	1	12	0	1-12	348	1	348	1	348	1	1-348	8	0
group_327		hypothetical protein	97	1.00	2163	12	0	2163	1	12	0	2152-2163	2163	1	2163	1	2163	1	1-2163	10	0
ispF	ispF	2-C-methyl-D-erythritol 24-cyclodiphosphate synthase	97	1.00	537	12	0	537	1	12	0	1-12	537	1	537	1	537	1	1-537	9	0
ligA	ligA	DNA ligase	97	1.00	1992	12	0	1992	1	12	0	1981-1992	1992	1	1992	1	1992	1	1-1992	10	0
mnmC	mnmC	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC	97	1.00	1059	12	0	1059	1	12	0	1048-1059	1059	1	1059	1	1059	1	1-1059	10	0
dppE	dppE	Dipeptide-binding protein DppE	97	1.00	1590	11	0	1590	1	11	0	1580-1590	1590	1	1590	1	1590	1	1-1590	8	0
kdsB	kdsB	8-amino-38-dideoxy-manno-octulosonate cytidylyltransferase	97	1.00	792	11	0	792	1	11	0	1-11	792	1	792	1	792	1	1-792	10	0
malP	malP	Maltodextrin phosphorylase	97	1.00	2445	11	0	1621	2	11	0	2435-2445	2445	1	2445	1	2445	1	1-2445	10	5
ogt	ogt	Methylated-DNA--protein-cysteine methyltransferase	97	1.00	513	11	0	513	1	11	0	503-513	513	1	513	1	513	1	1-513	2	0
spo0J	spo0J	Stage 0 sporulation protein J	97	1.00	846	11	0	846	1	11	0	836-846	846	1	846	1	846	1	1-846	10	0
birA	birA	Bifunctional ligase/repressor BirA	97	1.00	555	10	0	555	1	10	0	546-555	555	1	555	1	555	1	1-555	5	0
fbpC2	fbpC2	Fe(3+) ions import ATP-binding protein FbpC 2	97	1.00	693	10	0	693	1	10	0	684-693	693	1	693	1	693	1	1-693	9	0
group_201		hypothetical protein	97	1.00	507	10	0	507	1	10	0	1-10	507	1	507	1	507	1	1-507	10	0
group_314		hypothetical protein	97	1.00	714	10	0	714	1	10	0	1-10	10	0	714	1	10	0	1-10	8	0
group_338		hypothetical protein	97	1.00	279	10	0	279	1	10	0	1-10	279	1	279	1	279	1	1-279	4	0
group_46		hypothetical protein	97	1.00	2433	10	0	2433	1	10	0	1-10	2433	1	2433	1	2433	1	1-2433	6	0
recB	recB	RecBCD enzyme subunit RecB	97	1.00	3081	10	0	3081	1	10	0	3072-3081	3081	1	3081	1	3081	1	1-3081	10	0
group_15		hypothetical protein	97	1.00	537	9	0	537	1	9	0	1-9	537	1	537	1	537	1	1-537	4	0
group_325		hypothetical protein	97	1.00	1695	9	0	1695	1	9	0	1687-1695	1695	1	1695	1	1695	1	1-1695	2	0
group_45		hypothetical protein	97	1.00	2499	9	0	2499	1	9	0	2491-2499	2499	1	2499	1	2499	1	1-2499	8	0
lpxB	lpxB	Lipid-A-disaccharide synthase	97	1.00	1824	9	0	1824	1	9	0	1816-1824	1824	1	1824	1	1824	1	1-1824	10	0
pgcA	pgcA	Phosphoglucomutase	97	1.00	1782	9	0	1782	1	9	0	1774-1782	1782	1	1782	1	1782	1	1-1782	10	0
recJ	recJ	Single-stranded-DNA-specific exonuclease RecJ	97	1.00	1755	9	0	1755	1	9	0	1747-1755	1755	1	1755	1	1755	1	1-1755	8	0
uvrB	uvrB	UvrABC system protein B	97	1.00	2007	9	0	371	2	9	0	1999-2007	2007	1	2007	1	2007	1	1-2007	10	23
aviRb	aviRb	23S rRNA (uridine(2479)-2'-O)-methyltransferase	97	1.00	810	8	0	810	1	8	0	803-810	810	1	810	1	810	1	1-810	10	0
group_18		hypothetical protein	97	1.00	372	8	0	372	1	8	0	365-372	372	1	372	1	372	1	1-372	3	0
secA	secA	Protein translocase subunit SecA	97	1.00	2910	8	0	659	4	8	0	2903-2910	2910	1	2910	1	2910	1	1-2910	10	14
COQ3	COQ3	Ubiquinone biosynthesis O-methyltransferase mitochondrial	97	1.00	804	7	0	804	1	7	0	798-804	804	1	804	1	804	1	1-804	9	0
accC	accC	Biotin carboxylase	97	1.00	1374	7	0	178	1	7	0	1368-1374	1374	1	1374	1	1374	1	1-1374	10	7
folD	folD	Bifunctional protein FolD protein	97	1.00	864	7	0	864	1	7	0	858-864	864	1	864	1	864	1	1-864	10	0
group_293		hypothetical protein	97	1.00	1389	7	0	1389	1	7	0	1383-1389	1389	1	1389	1	1389	1	1-1389	9	0
group_30		hypothetical protein	97	1.00	2787	7	0	2787	1	7	0	1-7	2787	1	2787	1	2787	1	1-2787	10	0
group_70		hypothetical protein	97	1.00	1479	7	0	1479	1	7	0	1473-1479	1479	1	1479	1	1479	1	1-1479	10	0
lplT	lplT	Lysophospholipid transporter LplT	97	1.00	1680	7	0	1680	1	7	0	1674-1680	1680	1	1680	1	1680	1	1-1680	10	0
lysC	lysC	Lysine-sensitive aspartokinase 3	97	1.00	1296	7	0	1296	1	7	0	1290-1296	1296	1	1296	1	1296	1	1-1296	10	0
pgi	pgi	Glucose-6-phosphate isomerase	97	1.00	1578	7	0	1007	2	7	0	1572-1578	1257	2	1578	1	1257	2	322-1578	10	1
recD2	recD2	ATP-dependent RecD-like DNA helicase	97	1.00	2241	7	0	2241	1	7	0	2235-2241	2241	1	2241	1	2241	1	1-2241	10	0
rnhC	rnhC	Ribonuclease HIII	97	1.00	903	7	0	903	1	7	0	897-903	903	1	903	1	903	1	1-903	10	0
sigD	sigD	RNA polymerase sigma-D factor	97	1.00	762	7	0	762	1	7	0	756-762	762	1	762	1	762	1	1-762	10	0
tadA	tadA	tRNA-specific adenosine deaminase	97	1.00	531	7	0	531	1	7	0	1-7	7	0	531	1	7	0	1-7	10	0
trpR	trpR	Trp operon repressor	97	1.00	285	7	0	285	1	7	0	279-285	285	1	285	1	285	1	1-285	3	0
group_246		hypothetical protein	97	1.00	351	6	0	351	1	6	0	346-351	6	0	351	1	6	0	346-351	10	0
group_363		hypothetical protein	97	1.12	456	6	0	456	1	6	0	451-456	456	1	456	1	456	1	1-456	4	0
mrdA	mrdA	Peptidoglycan DD-transpeptidase MrdA	97	1.00	3243	6	0	3243	1	6	0	3238-3243	3243	1	3243	1	3243	1	1-3243	10	0
alaS	alaS	Alanine--tRNA ligase	97	1.00	3009	5	0	2291	2	5	0	1-5	2970	1	3009	1	2970	1	40-3009	10	16
csd	csd	putative cysteine desulfurase	97	1.00	1206	5	0	630	2	5	0	1202-1206	1206	1	1206	1	1206	1	1-1206	10	4
ftsW	ftsW	putative peptidoglycan glycosyltransferase FtsW	97	1.00	1158	5	0	1158	1	5	0	1154-1158	1158	1	1158	1	1158	1	1-1158	10	0
group_140		hypothetical protein	97	1.00	852	5	0	852	1	5	0	1-5	852	1	852	1	852	1	1-852	6	0
group_160		hypothetical protein	97	1.00	732	5	0	732	1	5	0	728-732	732	1	732	1	732	1	1-732	9	0
group_185		hypothetical protein	97	1.00	582	5	0	582	1	5	0	578-582	582	1	582	1	582	1	1-582	8	0
group_240		hypothetical protein	97	1.00	375	5	0	375	1	5	0	1-5	375	1	375	1	375	1	1-375	10	0
group_72		Magnesium transporter MgtE	97	1.00	1473	5	0	1473	1	5	0	1-5	1473	1	1473	1	1473	1	1-1473	10	0
hemH	hemH	Ferrochelatase	97	1.00	945	5	0	945	1	5	0	1-5	945	1	945	1	945	1	1-945	8	0
pknD_1	pknD_1	Serine/threonine-protein kinase PknD	97	1.00	2805	5	0	2805	1	5	0	2801-2805	2805	1	2805	1	2805	1	1-2805	10	0
pnp	pnp	Polyribonucleotide nucleotidyltransferase	97	1.00	2088	5	0	1134	2	5	0	2084-2088	2088	1	2088	1	2088	1	1-2088	10	14
ribD	ribD	Riboflavin biosynthesis protein RibD	97	1.00	1128	5	0	1128	1	5	0	1124-1128	1128	1	1128	1	1128	1	1-1128	10	0
trxB	trxB	Thioredoxin reductase	97	1.00	1074	5	0	940	1	5	0	1070-1074	1074	1	1074	1	1074	1	1-1074	10	2
yqgF	yqgF	Putative pre-16S rRNA nuclease	97	1.00	447	5	0	447	1	5	0	1-5	447	1	447	1	447	1	1-447	9	0
dsbH	dsbH	Disulfide bond reductase DsbH	97	1.00	495	4	0	495	1	4	0	492-495	495	1	495	1	495	1	1-495	8	0
group_144		hypothetical protein	97	1.00	807	4	0	807	1	4	0	804-807	807	1	807	1	807	1	1-807	3	0
group_167		putative oxidoreductase CT_610	97	1.00	681	4	0	681	1	4	0	678-681	681	1	681	1	681	1	1-681	7	0
group_337		hypothetical protein	97	1.00	294	4	0	294	1	4	0	291-294	294	1	294	1	294	1	1-294	9	0
group_351		hypothetical protein	97	1.00	453	4	0	453	1	4	0	450-453	453	1	453	1	453	1	1-453	2	0
group_353		hypothetical protein	97	1.10	1083	4	0	1083	1	4	0	1080-1083	1083	1	1083	1	1083	1	1-1083	2	0
group_373		hypothetical protein	97	1.06	1104	4	0	1104	1	4	0	1101-1104	1104	1	1104	1	1104	1	1-1104	2	0
ptrA	ptrA	Protease 3	97	1.00	2871	4	0	2871	1	4	0	1-4	2871	1	2871	1	2871	1	1-2871	10	0
ribF	ribF	Bifunctional riboflavin kinase/FMN adenylyltransferase	97	1.00	924	4	0	924	1	4	0	921-924	807	1	924	1	807	1	118-924	10	0
