accession	strain	tier	contig	start	end	strand	length	identity_to_ref	coverage	own_label	nn_label	nn_identity	nn_accession	agrees
GCF_000173495.1	6276s	primary	NZ_ABYE01000001.1	779536	780729	-	1194	83.70	1.00	J	J	100.00	GCF_000173475.1	yes
GCF_000173515.1	70	primary	NZ_ABYF01000001.1	784361	785548	-	1188	86.51	1.00	F	F	100.00	GCF_000173535.1	yes
GCF_000173535.1	70s	primary	NZ_ABYG01000001.1	782418	783605	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_000174055.1	2923	primary	NZ_ACFJ01000001.1	779103	780284	-	1182	99.15	1.00		D	100.00	GCF_000590675.1	
GCF_000175515.1	L2tet1	excluded	NZ_ACUI01000001.1	58637	59821	-	1185	92.49	1.00		J/L2/L2c	100.00	GCF_000068585.1	
GCF_000210495.1	Sweden2	primary	NC_017441.1	779766	780947	-	1182	93.40	1.00	E	E	100.00	GCF_000092665.1	yes
GCF_000220105.1	L2c	primary	NC_015744.1	58636	59820	-	1185	92.49	1.00	L2c	J/L2	100.00	GCF_000068585.1	singleton
GCF_000226605.1	A2497	primary	NC_017437.1	781492	782682	-	1191	83.95	1.00	A	A	100.00	GCF_000284475.1	yes
GCF_000284475.1	A2497	primary	NC_016798.1	781491	782681	-	1191	83.95	1.00	A	A	100.00	GCF_000226605.1	yes
GCF_000304495.1	E/SW3	primary	NC_017952.1	779829	781010	-	1182	93.40	1.00	E	E	100.00	GCF_000092665.1	yes
GCF_000304515.1	F/SW4	primary	NC_017951.1	779688	780875	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_000304535.1	F/SW5	primary	NC_017953.1	779686	780873	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_000318525.1	A/363	primary	NC_020966.1	781192	782382	-	1191	83.95	1.00	A	A	100.00	GCF_000226605.1	yes
GCF_000318565.1	A/7249	primary	NC_020944.1	781491	782681	-	1191	83.95	1.00	A	A	100.00	GCF_000226605.1	yes
GCF_000318645.1	E/Bour	primary	NC_020971.1	779605	780786	-	1182	93.40	1.00	E	E	100.00	GCF_000092665.1	yes
GCF_000318765.1	Ia/SotonIa1	primary	NC_020970.1	779584	780777	-	1194	84.28	1.00	Ia	Ia	100.00	GCF_000318785.1	yes
GCF_000318785.1	Ia/SotonIa3	primary	NC_020940.1	779737	780930	-	1194	84.28	1.00	Ia	Ia	100.00	GCF_000318765.1	yes
GCF_000318825.1	L1/440/LN	primary	NC_020937.1	776241	777422	-	1182	96.19	1.00	L1	L1/L2	100.00	GCF_036285905.1	yes
GCF_000318845.1	L1/115	primary	NC_020929.1	776076	777257	-	1182	93.15	1.00	L1	L1	99.92	GCF_000318865.1	yes
GCF_000318865.1	L1/224	primary	NC_020973.1	775810	776991	-	1182	93.15	1.00	L1	L1	99.92	GCF_000318845.1	yes
GCF_000318885.1	L2/25667R	primary	NC_020930.1	775828	777012	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_000318905.1	L2b/8200/07	primary	NC_020945.1	775828	777012	-	1185	92.41	1.00	L2b	L2b	100.00	GCF_000318925.1	yes
GCF_000318925.1	L2b/UCH-2	primary	NC_020931.1	775828	777012	-	1185	92.41	1.00	L2b	L2b	100.00	GCF_000318905.1	yes
GCF_000318985.1	L2b/795	primary	NC_020938.1	775684	776868	-	1185	92.41	1.00	L2b	L2b	100.00	GCF_000318905.1	yes
GCF_000319105.1	L3/404/LN	primary	NC_020974.1	776236	777429	-	1194	84.02	1.00	L3	L3	100.00	GCF_047414635.1	yes
GCF_000364765.1	L2/434/Bu(i)	primary	NC_021050.1	58637	59821	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_000364785.1	L2/434/Bu(f)	primary	NC_021052.1	58637	59821	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_000441585.1	RC-F/69	primary	NC_021895.1	782506	783693	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_000441615.1	RC-L2(s)/46	primary	NC_021887.1	775209	776393	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_000441635.1	RC-F(s)/852	quality-review	NC_021888.1	782458	783645	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_000441655.1	RC-J/943	primary	NC_021896.1	775229	776422	-	1194	83.70	1.00	J	J	100.00	GCF_000173475.1	yes
GCF_000441675.1	RC-J/953	primary	NC_021889.1	775223	776416	-	1194	83.70	1.00	J	J	100.00	GCF_000173475.1	yes
GCF_000441695.1	RC-L2(s)/3	primary	NC_021897.1	782522	783706	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_000441715.1	RC-F(s)/342	quality-review	NC_021890.1	782418	783605	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_000441735.1	RC-J(s)/122	quality-review	NC_021891.1	782536	783729	-	1194	83.70	1.00	J	J	100.00	GCF_000173475.1	yes
GCF_000441755.1	RC-J/966	primary	NC_021898.1	775230	776423	-	1194	83.70	1.00	J	J	100.00	GCF_000173475.1	yes
GCF_000441775.1	J/6276tet1	excluded	NC_021892.1	779537	780730	-	1194	83.70	1.00	J	J	100.00	GCF_000173475.1	yes
GCF_000441795.1	RC-J/971	primary	NC_021899.1	774834	776018	-	1185	92.49	1.00	J	L2/L2c	100.00	GCF_000068585.1	NO
GCF_000441815.1	RC-L2/55	primary	NC_021893.1	775262	776446	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_000507225.1	C/TW-3	primary	NC_023060.1	781174	782367	-	1194	83.78	1.00	C	C	100.00	GCF_047420695.1	yes
GCF_000590575.1	F/1-93	primary	NC_022117.1	778942	780129	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_000590615.1	F/6-94	primary	NC_022118.1	779107	780294	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_000590635.1	F/11-96	primary	NC_022107.1	779195	780382	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_000590675.1	D/13-96	primary	NC_022119.1	779099	780280	-	1182	99.15	1.00	D	Da	99.75	GCF_047419435.1	group
GCF_000590755.1	J/31-98	primary	NC_022121.1	779563	780756	-	1194	83.70	1.00	J	J	100.00	GCF_000173475.1	yes
GCF_000971705.1	L2b/CS19/08	primary	NZ_CP009923.1	58642	59826	-	1185	92.41	1.00	L2b	L2b	100.00	GCF_000318905.1	yes
GCF_000971725.1	L2b/CS784/08	primary	NZ_CP009925.1	58642	59826	-	1185	92.41	1.00	L2b	L2b	100.00	GCF_000318905.1	yes
GCF_001183765.1	D/CS637/11	quality-review	NZ_CP007131.1	779657	780838	-	1182	100.00	1.00	D	D	100.00	GCF_000008725.1	yes
GCF_001183805.1	E/CS1025/11	quality-review	NZ_CP010567.1	779960	781141	-	1182	93.40	1.00	E	E	100.00	GCF_000092665.1	yes
GCF_001183825.1	F/CS847/08	quality-review	NZ_CP010569.1	780001	781188	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_001183845.1	Ia/CS190/96	quality-review	NZ_CP010571.1	779065	780258	-	1194	84.36	1.00	Ia	Ia	99.92	GCF_000318765.1	yes
GCF_001655335.1	E-103	primary	NZ_CP015294.1	779338	780519	-	1182	93.40	1.00	E	E	100.00	GCF_000092665.1	yes
GCF_001655375.1	E-160	primary	NZ_CP015296.1	779334	780515	-	1182	93.40	1.00	E	E	100.00	GCF_000092665.1	yes
GCF_001655415.1	E-547	primary	NZ_CP015298.1	779330	780511	-	1182	93.40	1.00	E	E	100.00	GCF_000092665.1	yes
GCF_001655455.1	E-8873	primary	NZ_CP015300.1	779043	780224	-	1182	93.32	1.00	E	E	99.92	GCF_000092665.1	yes
GCF_001655495.1	E-32931	primary	NZ_CP015302.1	785244	786425	-	1182	93.40	1.00	E	E	100.00	GCF_000092665.1	yes
GCF_001655535.1	E-DK-20	primary	NZ_CP015304.1	784361	785542	-	1182	93.40	1.00	E	E	100.00	GCF_000092665.1	yes
GCF_001655575.1	F-6068	primary	NZ_CP015306.1	779079	780266	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_001885175.1	QH111L	quality-review	NZ_CP018052.1	785383	786567	-	1185	94.77	1.00		Ba	99.66	GCF_047420705.1	
GCF_002088315.1	chxRP4F1	excluded	NZ_CP020535.1	778754	779935	-	1182	100.00	1.00		D	100.00	GCF_000008725.1	
GCF_002088335.1	chxRP4D10	excluded	NZ_CP020536.1	778730	779911	-	1182	100.00	1.00		D	100.00	GCF_000008725.1	
GCF_002088355.1	chxRP1H1	excluded	NZ_CP020537.1	778736	779917	-	1182	100.00	1.00		D	100.00	GCF_000008725.1	
GCF_002776745.1	SQ32	primary	NZ_CP017730.1	784041	785222	-	1182	98.98	1.00		D	99.83	GCF_000590675.1	
GCF_002776795.1	SQ29	primary	NZ_CP017731.1	784041	785222	-	1182	98.98	1.00		D	99.83	GCF_000590675.1	
GCF_002776845.1	SQ20	primary	NZ_CP017732.1	784877	786070	-	1194	84.45	1.00	H	H	100.00	GCF_002776885.1	yes
GCF_002776885.1	SQ24	primary	NZ_CP017733.1	784885	786078	-	1194	84.45	1.00	H	H	100.00	GCF_002776845.1	yes
GCF_002776955.1	SQ09	primary	NZ_CP017736.1	778931	780124	-	1194	84.28	1.00	Ia	Ia	100.00	GCF_000318765.1	yes
GCF_002776975.1	SQ10	primary	NZ_CP017737.1	778939	780132	-	1194	84.28	1.00	Ia	Ia	100.00	GCF_000318765.1	yes
GCF_002776995.1	SQ12	primary	NZ_CP017738.1	778940	780133	-	1194	84.28	1.00	Ia	Ia	100.00	GCF_000318765.1	yes
GCF_002777015.1	SQ14	primary	NZ_CP017739.1	778942	780135	-	1194	84.28	1.00	Ia	Ia	100.00	GCF_000318765.1	yes
GCF_002777035.1	SQ01	primary	NZ_CP017740.1	785044	786237	-	1194	83.70	1.00	J	J	100.00	GCF_000173475.1	yes
GCF_002777055.1	SQ02	primary	NZ_CP017741.1	785044	786237	-	1194	83.70	1.00	J	J	100.00	GCF_000173475.1	yes
GCF_002777075.1	SQ05	primary	NZ_CP017742.1	785044	786237	-	1194	83.70	1.00	J	J	100.00	GCF_000173475.1	yes
GCF_002777095.1	SQ25	primary	NZ_CP017743.1	779561	780754	-	1194	83.78	1.00	Ja	Ja	100.00	GCF_047417375.1	yes
GCF_002777135.1	SQ15	primary	NZ_CP017745.1	784664	785857	-	1194	83.89	1.00	K	K	100.00	GCF_002777155.1	yes
GCF_002777155.1	SQ19	primary	NZ_CP017746.1	784663	785856	-	1194	83.89	1.00	K	K	100.00	GCF_002777135.1	yes
GCF_004135145.1	tet9	excluded	NZ_CP035484.1	58637	59821	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_018336255.1	L2/Hefty/ct350::Tn	excluded	NZ_CP035759.1	58637	59821	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_018336275.1	L2/Hefty/ct732::Tn	excluded	NZ_CP035760.1	58637	59821	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_018336295.1	L2/Hefty/ct054::Tn	excluded	NZ_CP035761.1	58637	59821	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_018336315.1	L2/Hefty/ct404::Tn	excluded	NZ_CP035762.1	58637	59821	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_018337015.1	L2/Hefty/ct590::Tn	excluded	NZ_CP035763.1	58637	59821	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_025723025.1	L2f	primary	NZ_CP106985.1	539813	540997	+	1185	92.49	1.00		J/L2/L2c	100.00	GCF_000068585.1	
GCF_036285905.1	LGV II 434	quality-review	NZ_CP142852.1	539872	541053	+	1182	96.19	1.00	L2	L1	100.00	GCF_000318825.1	NO
GCF_039778305.1	BQ05_F_6370	excluded	NZ_CP156061.1	784361	785548	-	1188	86.51	1.00		F	100.00	GCF_000173515.1	
GCF_039778315.1	BQ05_M04431_F_6370	excluded	NZ_CP156062.1	784361	785548	-	1188	86.51	1.00		F	100.00	GCF_000173515.1	
GCF_039778325.1	BQ06_D0_J_p225	excluded	NZ_CP156063.1	779053	780246	-	1194	83.70	1.00		J	100.00	GCF_000173475.1	
GCF_039778335.1	BQ06_K06160_J_p225	excluded	NZ_CP156064.1	779054	780247	-	1194	83.70	1.00		J	100.00	GCF_000173475.1	
GCF_039778345.1	BQ06_L04117_J_p225	excluded	NZ_CP156065.1	779054	780247	-	1194	83.70	1.00		J	100.00	GCF_000173475.1	
GCF_039778415.1	BQ07_A11257_D_6319	excluded	NZ_CP156066.1	778820	780001	-	1182	99.15	1.00		D	100.00	GCF_000590675.1	
GCF_039778425.1	BQ07_D0_D_6319	excluded	NZ_CP156067.1	778820	780001	-	1182	99.15	1.00		D	100.00	GCF_000590675.1	
GCF_047414635.1	L3/404/LN	primary	NZ_CP166111.1	776324	777517	-	1194	84.02	1.00	L3	L3	100.00	GCF_000319105.1	yes
GCF_047416045.1	L2-D/SF/L2c	primary	NZ_CP166112.1	58636	59820	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000068585.1	yes
GCF_047416055.1	L1/440/LN	primary	NZ_CP166113.1	776320	777574	-	1255	96.02	1.00	L1	L1/L2	100.00	GCF_000318825.1	yes
GCF_047416065.1	K/UW-31/Cx	primary	NZ_CP166114.1	779510	780703	-	1194	83.81	1.00	K	K	99.92	GCF_002777135.1	yes
GCF_047417355.1	J/UW-36/Cx	primary	NZ_CP166116.1	785366	786559	-	1194	83.70	1.00	J	J	100.00	GCF_000173475.1	yes
GCF_047417365.1	Ia/UW-202	primary	NZ_CP166117.1	779817	781010	-	1194	84.28	1.00	Ia	Ia	100.00	GCF_000318765.1	yes
GCF_047417375.1	Ja/UW-92	primary	NZ_CP166115.1	779235	780428	-	1194	83.78	1.00	Ja	Ja	100.00	GCF_002777095.1	yes
GCF_047418505.1	G/UW-57/Cx	primary	NZ_CP166120.1	778891	780078	-	1188	85.16	1.00	G	G	99.92	GCF_000092685.1	yes
GCF_047418515.1	H/UW-4/Cx	primary	NZ_CP166119.1	945613	946806	-	1194	84.45	1.00	H	H	100.00	GCF_002776845.1	yes
GCF_047418525.1	I/UW-12/UR	primary	NZ_CP166118.1	780139	781329	-	1191	84.24	1.00	I	Ia	99.16	GCF_001183845.1	singleton
GCF_047419415.1	F/IC-Cal-13	primary	NZ_CP166121.1	779773	780960	-	1188	86.51	1.00	F	F	100.00	GCF_000173515.1	yes
GCF_047419425.1	E/bour	primary	NZ_CP166122.1	779010	780191	-	1182	93.40	1.00	E	E	100.00	GCF_000092665.1	yes
GCF_047419435.1	Da/TW-448	primary	NZ_CP166123.1	939738	940919	-	1182	99.07	1.00	Da	D	99.75	GCF_000590675.1	singleton
GCF_047420685.1	D/UW-3/Cx	primary	NZ_CP166124.1	778973	780229	-	1257	100.00	1.00	D	D	100.00	GCF_000008725.1	yes
GCF_047420695.1	C/TW-3/OT	primary	NZ_CP166125.1	781280	782473	-	1194	83.78	1.00	C	C	100.00	GCF_000507225.1	yes
GCF_047420705.1	Ba/Apache-2	primary	NZ_CP166126.1	904492	905676	-	1185	94.52	1.00	Ba	B	99.58	GCF_000026905.1	singleton
GCF_047421435.1	A/Sa-1	primary	NZ_CP166128.1	781246	782436	-	1191	83.74	1.00	A	A	99.58	GCF_000012125.1	yes
GCF_047421445.1	B/TW-5/OT	quality-review	NZ_CP166127.1	770923	772107	-	1185	94.68	1.00	B	B	99.58	GCF_000026905.1	yes
GCF_059083935.1	D/Ep6/S19-121	primary	NZ_CP194983.1	58816	60000	-	1185	94.85	1.00	D	B	95.61	GCF_047421445.1	NO
